TimeStamp_C,,,,,Value_N,Value_45,Value_60,Value_30
00:00.1,,,,,0,0,0,0
00:00.2,,,,,8.08325,0.01223,0.02235,8.05033
00:00.3,,,,,7.81066,0.01048,9.25826,9.25821
00:00.4,,,,,8.11018,0.01051,9.10092,8.59004
00:00.5,,,,,8.11018,8.30352,9.12396,8.6822
00:00.6,,,,,8.20235,8.82443,9.12396,8.65916
00:00.7,,,,,8.13323,8.77835,9.07788,8.65916
00:00.8,,,,,8.08714,8.82443,9.10092,8.70524
00:00.9,,,,,8.04106,8.84747,9.12396,8.63612
00:01.0,,,,,8.11018,8.73227,9.07788,8.567
00:01.1,,,,,8.01802,8.77835,9.147,8.70524
00:01.2,,,,,8.0641,8.75531,9.10092,8.59004
00:01.3,,,,,8.0641,8.77835,9.12396,8.59004
00:01.4,,,,,8.13323,8.75531,9.12396,8.6822
00:01.5,,,,,8.01802,8.75531,9.12396,8.63612
00:01.6,,,,,8.0641,8.84747,9.10092,8.63612
00:01.7,,,,,8.08714,8.80139,9.07788,8.63612
00:01.8,,,,,8.15627,8.75531,9.10092,8.65916
00:01.9,,,,,8.04106,8.73227,9.07788,8.59004
00:02.0,,,,,8.08714,8.75531,9.147,8.59004
00:02.1,,,,,8.08714,8.80139,9.0318,8.65916
00:02.2,,,,,8.08714,8.75531,9.10092,8.63612
00:02.3,,,,,8.0641,8.77835,9.0318,8.61308
00:02.4,,,,,8.01802,8.75531,9.00876,8.59004
00:02.5,,,,,8.11018,8.80139,9.0318,8.59004
00:02.6,,,,,8.01802,8.77835,9.0318,8.59004
00:02.7,,,,,8.04106,8.77835,9.07788,8.63612
00:02.8,,,,,8.0641,8.73227,9.07788,8.61308
00:02.9,,,,,8.01802,8.80139,9.07788,8.567
00:03.0,,,,,8.0641,8.75531,9.07788,8.61308
00:03.1,,,,,8.17931,8.73227,9.05484,8.6822
00:03.2,,,,,8.20235,8.75531,9.07788,8.61308
00:03.3,,,,,8.17931,8.77835,9.10092,8.567
00:03.4,,,,,8.27147,8.73227,9.05484,8.65916
00:03.5,,,,,8.17931,8.73227,9.10092,8.61308
00:03.6,,,,,8.15627,8.75531,9.05484,8.6822
00:03.7,,,,,8.11018,8.75531,9.10092,8.72828
00:03.8,,,,,8.0641,8.73227,9.05484,8.70524
00:03.9,,,,,8.08714,8.68619,9.07788,8.65916
00:04.0,,,,,8.04106,8.70923,9.0318,8.63612
00:04.1,,,,,8.0641,8.75531,9.07788,8.65916
00:04.2,,,,,8.0641,8.75531,9.12396,8.54396
00:04.3,,,,,8.01802,8.73227,9.07788,8.61308
00:04.4,,,,,8.04106,8.70923,9.07788,8.61308
00:04.5,,,,,8.0641,8.75531,9.00876,8.61308
00:04.6,,,,,8.08714,8.73227,9.12396,8.59004
00:04.7,,,,,8.08714,8.75531,9.05484,8.59004
00:04.8,,,,,8.04106,8.80139,9.10092,8.59004
00:04.9,,,,,8.11018,8.70923,9.05484,8.54396
00:05.0,,,,,8.04106,8.75531,9.0318,8.59004
00:05.1,,,,,7.99498,8.68619,9.07788,8.63612
00:05.2,,,,,8.08714,8.77835,9.07788,8.567
00:05.3,,,,,8.08714,8.70923,9.05484,8.567
00:05.4,,,,,8.0641,8.73227,9.05484,8.567
00:05.5,,,,,8.0641,8.77835,9.07788,8.59004
00:05.6,,,,,8.08714,8.75531,9.07788,8.61308
00:05.7,,,,,8.01802,8.73227,9.10092,8.59004
00:05.8,,,,,8.04106,8.77835,9.05484,8.567
00:05.9,,,,,8.0641,8.75531,9.0318,8.63612
00:06.0,,,,,8.0641,8.75531,9.07788,8.59004
00:06.1,,,,,7.9489,8.75531,9.0318,8.59004
00:06.2,,,,,7.9489,8.75531,9.05484,8.63612
00:06.3,,,,,7.97194,8.73227,9.0318,8.59004
00:06.4,,,,,8.04106,8.75531,9.10092,8.567
00:06.5,,,,,7.92586,8.73227,9.00876,8.567
00:06.6,,,,,7.9489,8.73227,9.07788,8.52092
00:06.7,,,,,7.99498,8.73227,9.05484,8.63612
