TimeStamp,,,,Specification,Value_mA,Value_A,,TimeStamp_30
16:10:56.956 -> The value of current in ma : 0.00,,,,current,0,0,,0:00:00.100
16:10:57.051 -> The value of current in ma : 0.00,,,,current,0,0,,0:00:00.200
16:10:57.195 -> The value of current in ma : 0.00,,,,current,0,0,,0:00:00.300
16:10:57.431 -> The value of current in ma : 0.00,,,,current,0,0,,0:00:00.400
16:10:57.525 -> The value of current in ma : 0.00,,,,current,0,0,,0:00:00.500
16:10:58.380 -> The value of current in ma : 0.00,,,,current,0,0,,0:00:00.600
16:10:58.523 -> The value of current in ma : 16630.33,,,,current,16630.33,16.63033,,0:00:00.700
16:10:58.617 -> The value of current in ma : 9838.21,,,,current,9838.21,9.83821,,0:00:00.800
16:10:58.760 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:00.900
16:10:58.854 -> The value of current in ma : 9262.20,,,,current,9262.2,9.2622,,0:00:01.000
16:10:58.995 -> The value of current in ma : 9239.16,,,,current,9239.16,9.23916,,0:00:01.100
16:10:59.136 -> The value of current in ma : 9239.16,,,,current,9239.16,9.23916,,0:00:01.200
16:10:59.230 -> The value of current in ma : 9285.24,,,,current,9285.24,9.28524,,0:00:01.300
16:10:59.373 -> The value of current in ma : 9216.12,,,,current,9216.12,9.21612,,0:00:01.400
16:10:59.468 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:01.500
16:10:59.608 -> The value of current in ma : 9285.24,,,,current,9285.24,9.28524,,0:00:01.600
16:10:59.704 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:01.700
16:10:59.846 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:01.800
16:10:59.941 -> The value of current in ma : 9262.20,,,,current,9262.2,9.2622,,0:00:01.900
16:11:00.083 -> The value of current in ma : 9216.12,,,,current,9216.12,9.21612,,0:00:02.000
16:11:00.225 -> The value of current in ma : 9216.12,,,,current,9216.12,9.21612,,0:00:02.100
16:11:00.321 -> The value of current in ma : 9216.12,,,,current,9216.12,9.21612,,0:00:02.200
16:11:00.462 -> The value of current in ma : 9239.16,,,,current,9239.16,9.23916,,0:00:02.300
16:11:00.556 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:02.400
16:11:00.665 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:02.500
16:11:00.808 -> The value of current in ma : 9239.16,,,,current,9239.16,9.23916,,0:00:02.600
16:11:00.903 -> The value of current in ma : 9216.12,,,,current,9216.12,9.21612,,0:00:02.700
16:11:01.044 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:02.800
16:11:01.184 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:02.900
16:11:01.280 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:03.000
16:11:01.423 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:03.100
