TimeStamp,,,,TimeStamp_45,,Specification,Value_mA,Value_A,TimeStamp_45
17:19:20.449 -> The value of current in ma : 0.00,,,,19:20.4,->,current,0,0,0:00:00.100
17:19:20.449 -> The value of current in ma : 0.01,,,,19:20.6,->,current,0,0,0:00:00.200
17:19:20.449 -> The value of current in ma : 0.02,,,,19:20.7,->,current,0,0,0:00:00.300
17:19:20.814 -> The value of current in ma : 12.23,,,,19:20.8,->,current,12.23,0.01223,0:00:00.400
17:19:20.955 -> The value of current in ma : 0.00,,,,19:21.0,->,current,0,0,0:00:00.500
17:19:21.034 -> The value of current in ma : 10.48,,,,19:21.0,->,current,10.48,0.01048,0:00:00.600
17:19:21.176 -> The value of current in ma : 0.00,,,,19:21.2,->,current,0,0,0:00:00.700
17:19:21.320 -> The value of current in ma : 0.00,,,,19:21.3,->,current,0,0,0:00:00.800
17:19:21.415 -> The value of current in ma : 10.51,,,,19:21.4,->,current,10.51,0.01051,0:00:00.900
17:19:21.557 -> The value of current in ma : 0.00,,,,19:21.6,->,current,0,0,0:00:01.000
17:19:21.652 -> The value of current in ma : 0.00,,,,19:21.7,->,current,0,0,0:00:01.100
17:19:21.793 -> The value of current in ma : 0.00,,,,19:21.8,->,current,0,0,0:00:01.200
17:19:21.921 -> The value of current in ma : 0.00,,,,19:21.9,->,current,0,0,0:00:01.300
17:19:22.540 -> The value of current in ma : 0.00,,,,19:22.5,->,current,0,0,0:00:01.400
17:19:22.636 -> The value of current in ma : 12303.52,,,,19:22.6,->,current,12303.52,12.30352,0:00:01.500
17:19:22.780 -> The value of current in ma : 8824.43,,,,19:22.8,->,current,8824.43,8.82443,0:00:01.600
17:19:22.858 -> The value of current in ma : 8778.35,,,,19:22.9,->,current,8778.35,8.77835,0:00:01.700
17:19:22.985 -> The value of current in ma : 8824.43,,,,19:23.0,->,current,8824.43,8.82443,0:00:01.800
17:19:23.126 -> The value of current in ma : 8847.47,,,,19:23.1,->,current,8847.47,8.84747,0:00:01.900
17:19:23.221 -> The value of current in ma : 8732.27,,,,19:23.2,->,current,8732.27,8.73227,0:00:02.000
17:19:23.362 -> The value of current in ma : 8778.35,,,,19:23.4,->,current,8778.35,8.77835,0:00:02.100
17:19:23.504 -> The value of current in ma : 8755.31,,,,19:23.5,->,current,8755.31,8.75531,0:00:02.200
17:19:23.616 -> The value of current in ma : 8778.35,,,,19:23.6,->,current,8778.35,8.77835,0:00:02.300
17:19:23.710 -> The value of current in ma : 8755.31,,,,19:23.7,->,current,8755.31,8.75531,0:00:02.400
17:19:23.852 -> The value of current in ma : 8755.31,,,,19:23.9,->,current,8755.31,8.75531,0:00:02.500
17:19:23.994 -> The value of current in ma : 8847.47,,,,19:24.0,->,current,8847.47,8.84747,0:00:02.600
17:19:24.089 -> The value of current in ma : 8801.39,,,,19:24.1,->,current,8801.39,8.80139,0:00:02.700
17:19:24.183 -> The value of current in ma : 8755.31,,,,19:24.2,->,current,8755.31,8.75531,0:00:02.800
17:19:24.324 -> The value of current in ma : 8732.27,,,,19:24.3,->,current,8732.27,8.73227,0:00:02.900
17:19:24.465 -> The value of current in ma : 8755.31,,,,19:24.5,->,current,8755.31,8.75531,0:00:03.000
17:19:24.560 -> The value of current in ma : 8801.39,,,,19:24.6,->,current,8801.39,8.80139,0:00:03.100
17:19:24.733 -> The value of current in ma : 8755.31,,,,19:24.7,->,current,8755.31,8.75531,0:00:03.200
17:19:24.816 -> The value of current in ma : 8778.35,,,,19:24.8,->,current,8778.35,8.77835,0:00:03.300
17:19:24.953 -> The value of current in ma : 8755.31,,,,19:25.0,->,current,8755.31,8.75531,0:00:03.400
17:19:25.048 -> The value of current in ma : 8801.39,,,,19:25.0,->,current,8801.39,8.80139,0:00:03.500
17:19:25.190 -> The value of current in ma : 8778.35,,,,19:25.2,->,current,8778.35,8.77835,0:00:03.600
17:19:25.285 -> The value of current in ma : 8778.35,,,,19:25.3,->,current,8778.35,8.77835,0:00:03.700
17:19:25.426 -> The value of current in ma : 8732.27,,,,19:25.4,->,current,8732.27,8.73227,0:00:03.800
17:19:25.536 -> The value of current in ma : 8801.39,,,,19:25.5,->,current,8801.39,8.80139,0:00:03.900
17:19:25.683 -> The value of current in ma : 8755.31,,,,19:25.7,->,current,8755.31,8.75531,0:00:04.000
17:19:25.806 -> The value of current in ma : 8732.27,,,,19:25.8,->,current,8732.27,8.73227,0:00:04.100
17:19:25.901 -> The value of current in ma : 8755.31,,,,19:25.9,->,current,8755.31,8.75531,0:00:04.200
17:19:26.027 -> The value of current in ma : 8778.35,,,,19:26.0,->,current,8778.35,8.77835,0:00:04.300
17:19:26.144 -> The value of current in ma : 8732.27,,,,19:26.1,->,current,8732.27,8.73227,0:00:04.400
17:19:26.279 -> The value of current in ma : 8732.27,,,,19:26.3,->,current,8732.27,8.73227,0:00:04.500
