TimeStamp,,,,TimeStamp_60,,Specification,Unit,Value_mA,Value_A,TimeStamp_60
16:30:20.158 -> The value of current in ma : 00.0,,,,00:30:20,,,,0,0,0:00:00.100
16:30:20.158 -> The value of current in ma : 00.0,,,,00:30:20,,,,0,0,0:00:00.200
16:30:20.158 -> The value of current in ma : 00.0,,,,00:30:20,,,,0,0,0:00:00.300
16:30:20.158 -> The value of current in ma : 22.35,,,,00:30:20,,,,22.35,0.02235,0:00:00.400
16:30:20.158 -> The value of current in ma : 13258.26,,,,00:30:20,,,,13258.26,13.25826,0:00:00.500
16:30:20.158 -> The value of current in ma : 9100.92,,,,30:20.0,->,current,ma,9100.92,9.10092,0:00:00.600
16:30:20.268 -> The value of current in ma : 9123.96,,,,30:20.3,->,current,ma,9123.96,9.12396,0:00:00.700
16:30:20.393 -> The value of current in ma : 9123.96,,,,30:20.4,->,current,ma,9123.96,9.12396,0:00:00.800
16:30:20.534 -> The value of current in ma : 9077.88,,,,30:20.5,->,current,ma,9077.88,9.07788,0:00:00.900
16:30:20.627 -> The value of current in ma : 9100.92,,,,30:20.6,->,current,ma,9100.92,9.10092,0:00:01.000
16:30:20.768 -> The value of current in ma : 9123.96,,,,30:20.8,->,current,ma,9123.96,9.12396,0:00:01.100
16:30:20.909 -> The value of current in ma : 9077.88,,,,30:20.9,->,current,ma,9077.88,9.07788,0:00:01.200
16:30:21.002 -> The value of current in ma : 9147.00,,,,30:21.0,->,current,ma,9147,9.147,0:00:01.300
16:30:21.143 -> The value of current in ma : 9100.92,,,,30:21.1,->,current,ma,9100.92,9.10092,0:00:01.400
16:30:21.237 -> The value of current in ma : 9123.96,,,,30:21.2,->,current,ma,9123.96,9.12396,0:00:01.500
16:30:21.377 -> The value of current in ma : 9123.96,,,,30:21.4,->,current,ma,9123.96,9.12396,0:00:01.600
16:30:21.518 -> The value of current in ma : 9123.96,,,,30:21.5,->,current,ma,9123.96,9.12396,0:00:01.700
16:30:21.612 -> The value of current in ma : 9100.92,,,,30:21.6,->,current,ma,9100.92,9.10092,0:00:01.800
16:30:21.753 -> The value of current in ma : 9077.88,,,,30:21.8,->,current,ma,9077.88,9.07788,0:00:01.900
16:30:21.847 -> The value of current in ma : 9100.92,,,,30:21.8,->,current,ma,9100.92,9.10092,0:00:02.000
16:30:21.972 -> The value of current in ma : 9077.88,,,,30:22.0,->,current,ma,9077.88,9.07788,0:00:02.100
16:30:22.112 -> The value of current in ma : 9147.00,,,,30:22.1,->,current,ma,9147,9.147,0:00:02.200
16:30:22.206 -> The value of current in ma : 9031.80,,,,30:22.2,->,current,ma,9031.8,9.0318,0:00:02.300
16:30:22.347 -> The value of current in ma : 9100.92,,,,30:22.3,->,current,ma,9100.92,9.10092,0:00:02.400
16:30:22.441 -> The value of current in ma : 9031.80,,,,30:22.4,->,current,ma,9031.8,9.0318,0:00:02.500
16:30:22.597 -> The value of current in ma : 9008.76,,,,30:22.6,->,current,ma,9008.76,9.00876,0:00:02.600
16:30:22.691 -> The value of current in ma : 9031.80,,,,30:22.7,->,current,ma,9031.8,9.0318,0:00:02.700
16:30:22.816 -> The value of current in ma : 9031.80,,,,30:22.8,->,current,ma,9031.8,9.0318,0:00:02.800
16:30:22.941 -> The value of current in ma : 9077.88,,,,30:22.9,->,current,ma,9077.88,9.07788,0:00:02.900
16:30:23.081 -> The value of current in ma : 9077.88,,,,30:23.1,->,current,ma,9077.88,9.07788,0:00:03.000
16:30:23.176 -> The value of current in ma : 9077.88,,,,30:23.2,->,current,ma,9077.88,9.07788,0:00:03.100
16:30:23.316 -> The value of current in ma : 9077.88,,,,30:23.3,->,current,ma,9077.88,9.07788,0:00:03.200
16:30:23.410 -> The value of current in ma : 9054.84,,,,30:23.4,->,current,ma,9054.84,9.05484,0:00:03.300
16:30:23.551 -> The value of current in ma : 9077.88,,,,30:23.6,->,current,ma,9077.88,9.07788,0:00:03.400
16:30:23.691 -> The value of current in ma : 9100.92,,,,30:23.7,->,current,ma,9100.92,9.10092,0:00:03.500
16:30:23.785 -> The value of current in ma : 9054.84,,,,30:23.8,->,current,ma,9054.84,9.05484,0:00:03.600
16:30:23.926 -> The value of current in ma : 9100.92,,,,30:23.9,->,current,ma,9100.92,9.10092,0:00:03.700
16:30:24.020 -> The value of current in ma : 9054.84,,,,30:24.0,->,current,ma,9054.84,9.05484,0:00:03.800
16:30:24.160 -> The value of current in ma : 9100.92,,,,30:24.2,->,current,ma,9100.92,9.10092,0:00:03.900
16:30:24.301 -> The value of current in ma : 9054.84,,,,30:24.3,->,current,ma,9054.84,9.05484,0:00:04.000
16:30:24.394 -> The value of current in ma : 9077.88,,,,30:24.4,->,current,ma,9077.88,9.07788,0:00:04.100
16:30:24.536 -> The value of current in ma : 9031.80,,,,30:24.5,->,current,ma,9031.8,9.0318,0:00:04.200
16:30:24.630 -> The value of current in ma : 9077.88,,,,30:24.6,->,current,ma,9077.88,9.07788,0:00:04.300
16:30:24.771 -> The value of current in ma : 9123.96,,,,30:24.8,->,current,ma,9123.96,9.12396,0:00:04.400
16:30:24.864 -> The value of current in ma : 9077.88,,,,30:24.9,->,current,ma,9077.88,9.07788,0:00:04.500
16:30:24.989 -> The value of current in ma : 9077.88,,,,30:25.0,->,current,ma,9077.88,9.07788,0:00:04.600
16:30:25.114 -> The value of current in ma : 9008.76,,,,30:25.1,->,current,ma,9008.76,9.00876,0:00:04.700
16:30:25.255 -> The value of current in ma : 9123.96,,,,30:25.3,->,current,ma,9123.96,9.12396,0:00:04.800
16:30:25.349 -> The value of current in ma : 9054.84,,,,30:25.3,->,current,ma,9054.84,9.05484,0:00:04.900
16:30:25.489 -> The value of current in ma : 9100.92,,,,30:25.5,->,current,ma,9100.92,9.10092,0:00:05.000
16:30:25.630 -> The value of current in ma : 9054.84,,,,30:25.6,->,current,ma,9054.84,9.05484,0:00:05.100
16:30:25.724 -> The value of current in ma : 9031.80,,,,30:25.7,->,current,ma,9031.8,9.0318,0:00:05.200
16:30:25.865 -> The value of current in ma : 9077.88,,,,30:25.9,->,current,ma,9077.88,9.07788,0:00:05.300
16:30:25.959 -> The value of current in ma : 9077.88,,,,30:26.0,->,current,ma,9077.88,9.07788,0:00:05.400
16:30:26.100 -> The value of current in ma : 9054.84,,,,30:26.1,->,current,ma,9054.84,9.05484,0:00:05.500
16:30:26.240 -> The value of current in ma : 9054.84,,,,30:26.2,->,current,ma,9054.84,9.05484,0:00:05.600
16:30:26.334 -> The value of current in ma : 9077.88,,,,30:26.3,->,current,ma,9077.88,9.07788,0:00:05.700
16:30:26.475 -> The value of current in ma : 9077.88,,,,30:26.5,->,current,ma,9077.88,9.07788,0:00:05.800
16:30:26.568 -> The value of current in ma : 9100.92,,,,30:26.6,->,current,ma,9100.92,9.10092,0:00:05.900
16:30:26.709 -> The value of current in ma : 9054.84,,,,30:26.7,->,current,ma,9054.84,9.05484,0:00:06.000
16:30:26.803 -> The value of current in ma : 9031.80,,,,30:26.8,->,current,ma,9031.8,9.0318,0:00:06.100
16:30:26.943 -> The value of current in ma : 9077.88,,,,30:26.9,->,current,ma,9077.88,9.07788,0:00:06.200
16:30:27.084 -> The value of current in ma : 9031.80,,,,30:27.1,->,current,ma,9031.8,9.0318,0:00:06.300
16:30:27.178 -> The value of current in ma : 9054.84,,,,30:27.2,->,current,ma,9054.84,9.05484,0:00:06.400
