TimeStamp_n,,Specification,Unit,Value_mA,Value_A,,TimeStamp_N
19:26.2,->,current ,ma,7810.66,7.81066,,00:00.600
19:26.3,->,current ,ma,8110.18,8.11018,,00:00.700
19:26.5,->,current ,ma,8110.18,8.11018,,00:00.800
19:26.6,->,current ,ma,8202.35,8.10235,,00:00.900
19:26.7,->,current ,ma,8133.23,8.13323,,00:01.000
19:26.8,->,current ,ma,8087.14,8.08714,,00:01.100
19:27.0,->,current ,ma,8041.06,8.04106,,00:01.200
19:27.1,->,current ,ma,8110.18,8.11018,,00:01.300
19:27.2,->,current ,ma,8018.02,8.01802,,00:01.400
19:27.3,->,current ,ma,8064.1,8.0641,,00:01.500
19:27.4,->,current ,ma,8064.1,8.0641,,00:01.600
19:27.6,->,current ,ma,8133.23,8.13323,,00:01.700
19:27.7,->,current ,ma,8018.02,8.01802,,00:01.800
19:27.8,->,current ,ma,8064.1,8.0641,,00:01.900
19:27.9,->,current ,ma,8087.14,8.08714,,00:02.000
19:28.0,->,current ,ma,8156.27,8.15627,,00:02.100
19:28.2,->,current ,ma,8041.06,8.04106,,00:02.200
19:28.3,->,current ,ma,8087.14,8.08714,,00:02.300
19:28.4,->,current ,ma,8087.14,8.08714,,00:02.400
19:28.5,->,current ,ma,8087.14,8.08714,,00:02.500
19:28.7,->,current ,ma,8064.1,8.0641,,00:02.600
19:28.8,->,current ,ma,8018.02,8.01802,,00:02.700
19:28.9,->,current ,ma,8110.18,8.11018,,00:02.800
19:29.0,->,current ,ma,8018.02,8.01802,,00:02.900
19:29.1,->,current ,ma,8041.06,8.04106,,00:03.000
19:29.2,->,current ,ma,8064.1,8.0641,,00:03.100
19:29.4,->,current ,ma,8018.02,8.01802,,00:03.200
19:29.5,->,current ,ma,8064.1,8.0641,,00:03.300
19:29.6,->,current ,ma,8179.31,8.17931,,00:03.400
19:29.8,->,current ,ma,8202.35,8.20235,,00:03.500
19:29.8,->,current ,ma,8179.31,8.17931,,00:03.600
19:30.0,->,current ,ma,8271.47,8.17147,,00:03.700
19:30.1,->,current ,ma,8179.31,8.17931,,00:03.800
19:30.2,->,current ,ma,8156.27,8.15627,,00:03.900
19:30.3,->,current ,ma,8110.18,8.11018,,00:04.000
19:30.5,->,current ,ma,8064.1,8.0641,,00:04.100
19:30.6,->,current ,ma,8087.14,8.08714,,00:04.200
19:30.7,->,current ,ma,8041.06,8.04106,,00:04.300
19:30.8,->,current ,ma,8064.1,8.0641,,00:04.400
19:30.9,->,current ,ma,8064.1,8.0641,,00:04.500
19:31.1,->,current ,ma,8018.02,8.01802,,00:04.600
19:31.2,->,current ,ma,8041.06,8.04106,,00:04.700
19:31.3,->,current ,ma,8064.1,8.0641,,00:04.800
19:31.4,->,current ,ma,8087.14,8.08714,,00:04.900
19:31.6,->,current ,ma,8087.14,8.08714,,00:05.000
19:31.7,->,current ,ma,8041.06,8.04106,,00:05.100
19:31.8,->,current ,ma,8110.18,8.11018,,00:05.200
19:31.9,->,current ,ma,8041.06,8.04106,,00:05.300
19:32.0,->,current ,ma,7994.98,7.99498,,00:05.400
19:32.2,->,current ,ma,8087.14,8.08714,,00:05.500
19:32.3,->,current ,ma,8087.14,8.08714,,00:05.600
19:32.4,->,current ,ma,8064.1,8.0641,,00:05.700
19:32.5,->,current ,ma,8064.1,8.0641,,00:05.800
19:32.6,->,current ,ma,8087.14,8.08714,,00:05.900
19:32.8,->,current ,ma,8018.02,8.01802,,00:06.000
19:32.9,->,current ,ma,8041.06,8.04106,,00:06.100
19:33.0,->,current ,ma,8064.1,8.0641,,00:06.200
19:33.1,->,current ,ma,8064.1,8.0641,,00:06.300
19:33.3,->,current ,ma,7948.9,7.9489,,00:06.400
19:33.4,->,current ,ma,7948.9,7.9489,,00:06.500
19:33.5,->,current ,ma,7971.94,7.97194,,00:06.600
19:33.6,->,current ,ma,8041.06,8.04106,,00:06.700
19:33.7,->,current ,ma,7925.86,7.92586,,00:06.800
19:33.8,->,current ,ma,7948.9,7.9489,,00:06.900
19:34.0,->,current ,ma,7994.98,7.99498,,00:07.000
19:34.1,->,current ,ma,7948.9,7.9489,,00:07.100
19:34.2,->,current ,ma,7994.98,7.99498,,00:07.200
19:34.3,->,current ,ma,7948.9,7.9489,,00:07.300
19:34.4,->,current ,ma,8087.14,8.08714,,00:07.400
19:34.6,->,current ,ma,7971.94,7.97194,,00:07.500
19:34.7,->,current ,ma,7925.86,7.92586,,00:07.600
19:34.8,->,current ,ma,7971.94,7.97194,,00:07.700
19:34.9,->,current ,ma,7994.98,7.99498,,00:07.800
19:35.1,->,current ,ma,7948.9,7.9489,,00:07.900
19:35.2,->,current ,ma,7994.98,7.99498,,00:08.000
19:35.3,->,current ,ma,8018.02,8.01802,,00:08.100
19:35.4,->,current ,ma,7971.94,7.97194,,00:08.200
19:35.5,->,current ,ma,8018.02,8.01802,,00:08.300
19:35.7,->,current ,ma,7971.94,7.97194,,00:08.400
19:35.8,->,current ,ma,8064.1,8.0641,,00:08.500
19:35.9,->,current ,ma,8064.1,8.0641,,00:08.600
19:36.0,->,current ,ma,7948.9,7.9489,,00:08.700
19:36.2,->,current ,ma,8041.06,8.04106,,00:08.800
19:36.3,->,current ,ma,7925.86,7.92586,,00:08.900
19:36.4,->,current ,ma,7994.98,7.99498,,00:09.000
19:36.5,->,current ,ma,8041.06,8.04106,,00:09.100
19:36.6,->,current ,ma,8018.02,8.01802,,00:09.200
19:36.8,->,current ,ma,7948.9,7.9489,,00:09.300
19:36.9,->,current ,ma,7994.98,7.99498,,00:09.400
19:37.0,->,current ,ma,8018.02,8.01802,,00:09.500
19:37.1,->,current ,ma,7971.94,7.97194,,00:09.600
19:37.2,->,current ,ma,7971.94,7.97194,,00:09.700
