test,mean0,mean1,mean2,mean3,mean4,mean5,mean6,mean7,mean8,mean9,mean10,mean11,mean12,mean13,mean14,mean15,mean16,mean17,mean18,mean19
1,73.74275362,70.02678832,64.15619565,64.15619565,66.36847826,64.68409302,67.62427907,63.34073387,60.81050215,66.76619444,70.42700917,64.0857037,67.76879012,69.42989024,70.1685061,67.25816216,70.1685061,66.96695322,67.66021192,66.96695322
2,74.1942029,70.41164234,64.54895652,64.54895652,66.77478261,65.71144186,68.69832558,64.41954839,62.70739056,68.40377315,72.12638532,64.74518519,68.46617284,70.00019512,70.74487805,62.06259459,70.74487805,67.69708187,68.5698543,67.69708187
3,74.67028986,70.98372263,64.96315217,64.96315217,67.20326087,66.02865116,69.02995349,63.77212097,61.54396567,68.39281944,72,65.13185185,68.87506173,70.1045122,70.85030488,64.46475676,70.85030488,68.24627485,69.19192053,68.24627485
4,76.46304348,72.31649635,66.52284783,66.52284783,68.81673913,65.24944186,68.21532558,64.68691129,61.77693562,67.12850926,70.97746789,65.52388889,69.28962963,70.56362195,71.31429878,66.84908108,71.31429878,67.74870175,69.79266225,67.74870175
5,72.35869565,69.52405109,62.95206522,62.95206522,65.12282609,65.58506977,68.5662093,63.73432258,62.83954936,68.25168519,72.60638532,63.72642593,67.3888642,68.97479268,69.70856707,65.58378378,69.70856707,67.6188538,66.0474702,67.6188538
6,74.77608696,70.08364964,65.05519565,65.05519565,67.29847826,65.59632558,68.57797674,64.16570968,60.94729185,66.8845787,70.01790826,65.23281481,68.98182716,70.83358537,71.58713415,66.63740541,71.58713415,68.07438596,69.13891391,68.07438596
7,74.32463768,70.9220073,64.66243478,64.66243478,66.89217391,66.22613953,69.2364186,64.45075806,62.67069957,68.4202037,72.40645872,66.21398148,70.01938272,71.2892561,72.04765244,65.72886486,72.04765244,68.25798246,69.14927152,68.25798246
8,76.69855072,73.04321168,66.72773913,66.72773913,69.02869565,64.94297674,67.89493023,63.53770161,60.65055794,68.25589815,71.74370642,62.6587963,66.25987654,67.60778049,68.3270122,68.26897297,68.3270122,67.17396491,68.81782781,67.17396491
9,72.48478261,68.83270073,63.06176087,63.06176087,65.23630435,65.78409302,68.77427907,65.08154032,62.55599571,67.37960185,70.81100917,65.36814815,69.12493827,70.76365854,71.51646341,63.10075676,71.51646341,68.33461404,67.76744371,68.33461404
10,74.26231884,70.87624088,64.60821739,64.60821739,66.83608696,66.03274419,69.03423256,63.12226613,61.66579399,68.19059722,73.02693578,65.54375926,69.31064198,71.87217073,72.63676829,62.99372973,72.63676829,68.28033333,68.67403974,68.28033333
11,74.90217391,70.66127737,65.1648913,65.1648913,67.41195652,64.62372093,67.56116279,65.20533871,61.64691416,66.9187037,69.49651376,64.21405556,67.90451852,68.17923171,68.90454268,66.528,68.90454268,66.45554386,70.32333775,66.45554386
12,76.88695652,72.8989781,66.89165217,66.89165217,69.19826087,65.9595814,68.95774419,62.99083871,62.67461803,68.24283796,72.65042202,64.989,68.724,70.21742683,70.96442073,66.10821622,70.96442073,68.31119883,66.4410596,68.31119883
13,71.87536232,68.78693431,62.53156522,62.53156522,64.68782609,66.76181395,69.79644186,64.543,61.16245064,68.40840741,71.69262385,64.84775926,68.57464198,70.09132927,70.83698171,64.68475676,70.83698171,69.30687719,68.63443709,69.30687719
14,74.3942029,70.77361314,64.72295652,64.72295652,66.95478261,63.73553488,66.63260465,63.34004032,62.86662232,67.24773611,71.0932844,65.34398148,69.09938272,70.43179268,71.18106707,66.25448649,71.18106707,65.45454386,68.90007947,65.45454386
15,75.37608696,71.04821168,65.57719565,65.57719565,67.83847826,65.9744186,68.97325581,64.73476613,60.55509013,68.18090741,72.81291743,63.7317963,67.39454321,69.59897561,70.33939024,69.24767568,70.33939024,68.48947368,69.40090066,68.48947368
16,76.31666667,72.76375912,66.3955,66.3955,68.685,67.38651163,70.44953488,63.73466935,62.20974678,66.92038889,69.81137615,65.29457407,69.0471358,70.41402439,71.16310976,63.8,71.16310976,69.61340351,67.27698013,69.61340351
17,71.94927536,68.79941606,62.59586957,62.59586957,64.75434783,63.24334884,66.11804651,64.25656452,61.6782618,68.23778241,72.16513761,66.51525926,70.33797531,71.17691463,71.93411585,63.59427027,71.93411585,65.61951462,69.00060927,65.61951462
18,74.92101449,70.57113139,65.18128261,65.18128261,67.42891304,66.07316279,69.07648837,64.14941129,62.01346781,68.51794444,71.39845872,62.55837037,66.15367901,68.12191463,68.84661585,65.13902703,68.84661585,68.14516374,70.02235762,68.14516374
19,74.86376812,70.91992701,65.13147826,65.13147826,67.3773913,67.15986047,70.2125814,63.68091935,62.2699485,67.09606944,71.54686239,65.2397963,68.98920988,70.50515854,71.25521341,65.85848649,71.25521341,68.82420468,67.18741722,68.82420468
20,76.02028986,72.80259124,66.13765217,66.13765217,68.41826087,64.02051163,66.93053488,64.93554839,61.3523176,68.3414213,72.89262385,65.52281481,69.28849383,71.89223171,72.65704268,65.39232432,72.65704268,66.86264912,68.30969536,66.86264912
21,72.24492754,68.4679562,62.85308696,62.85308696,65.02043478,65.64083721,68.62451163,63.39933871,62.91506867,66.86519907,69.8840367,64.20814815,67.8982716,67.60319512,68.32237805,66.81697297,68.32237805,67.92325146,68.98233113,67.92325146
22,74.72681159,70.78193431,65.01232609,65.01232609,67.25413043,66.22818605,69.23855814,65.43178226,60.633103,68.22261574,71.87581651,64.89824074,68.62802469,70.32632927,71.07448171,67.09524324,71.07448171,68.21168421,70.05769536,68.21168421
23,74.81304348,71.65773723,65.08734783,65.08734783,67.33173913,64.94655814,67.89867442,62.92841935,62.10252361,68.48297685,71.56447706,64.90790741,68.63824691,71.18608537,71.94338415,66.53513514,71.94338415,67.62896491,65.87565563,67.62896491
24,76.33695652,72.39832117,66.41315217,66.41315217,68.70326087,65.32925581,68.29876744,64.5416129,61.69144206,67.18917593,71.16726606,65.6167963,69.38787654,69.11178049,69.8470122,62.21362162,69.8470122,67.50550292,69.33631788,67.50550292
25,71.85072464,68.35215328,62.51013043,62.51013043,64.66565217,66.05986047,69.0625814,63.36708871,61.96965236,68.26727315,73.07053211,63.69474074,67.35535802,70.08789024,70.8335061,64.00691892,70.8335061,68.0371345,69.39846358,68.0371345
26,74.82028986,70.83948905,65.09365217,65.09365217,67.33826087,65.56460465,68.54481395,64.35331452,62.3821588,66.89890278,69.89680734,65.05344444,68.79214815,70.22717073,70.97426829,67.05362162,70.97426829,68.35483626,67.93438411,68.35483626
27,74.89855072,71.66744526,65.16173913,65.16173913,67.40869565,65.24995349,68.21586047,63.74091129,61.18311159,68.14299074,72.08366972,66.82351852,70.66395062,70.83358537,71.58713415,65.41254054,71.58713415,67.06646784,68.40352318,67.06646784
28,76.49275362,72.35324818,66.54869565,66.54869565,68.84347826,65.86083721,68.85451163,64.69558065,63.12417167,68.61779167,71.29409174,62.30864815,65.88960494,68.89741463,69.63036585,67.23437838,69.63036585,68.21221637,68.77274172,68.21221637
29,71.68768116,68.39029197,62.36828261,62.36828261,64.51891304,66.05934884,69.06204651,63.77975,60.51697425,67.12008333,71.54730275,65.44977778,69.21125926,70.39568293,71.14457317,65.48983784,71.14457317,68.54428655,70.33308609,68.54428655
30,75.59927536,71.00244526,65.77136957,65.77136957,68.03934783,65.00181395,67.95644186,64.14212903,62.09967382,68.432,72.90715596,65.39983333,69.15844444,71.87045122,72.63503049,67.72194595,72.63503049,66.46991228,66.03345695,66.46991228
31,74.3673913,71.19313869,64.69963043,64.69963043,66.93065217,65.93706977,68.9342093,64.47433871,61.61307296,66.92249537,69.84704587,64.2597037,67.95279012,67.55562195,68.27429878,63.66205405,68.27429878,68.2675614,69.34058278,68.2675614
32,75.87536232,72.35255474,66.01156522,66.01156522,68.28782609,66.0184186,69.01925581,63.44372581,61.88059657,67.9424537,72.03038532,64.8005,68.52466667,70.53381707,71.28417683,63.11264865,71.28417683,69.29729825,68.57838411,69.29729825
33,72.25217391,68.58722628,62.8593913,62.8593913,65.02695652,64.35460465,67.27981395,65.12280645,62.46337768,68.72564352,71.36278899,64.95946296,68.69276543,71.05081707,71.80667683,66.13556757,71.80667683,65.30181287,69.08834437,65.30181287
34,75.11231884,70.92686131,65.34771739,65.34771739,67.60108696,65.94986047,68.9475814,63.20341129,61.48198283,66.9422963,71.46011009,65.49381481,69.25782716,69.28545122,70.02253049,66.52086486,70.02253049,68.79866082,67.46646358,68.79866082
35,75.04855072,71.29091241,65.29223913,65.29223913,67.54369565,66.83344186,69.87132558,65.22718548,62.81781974,68.65318056,72.91155963,63.88216667,67.55355556,69.88212195,70.62554878,64.93805405,70.62554878,69.41437427,68.76664901,69.41437427
36,75.20362319,72.47459854,65.42715217,65.42715217,67.68326087,63.84451163,66.74653488,62.91212097,60.70862232,66.79020833,70.16587156,64.82788889,68.55362963,70.27245122,71.02003049,65.97502703,71.02003049,65.51574269,70.54511258,65.51574269
37,72.54855072,68.05952555,63.11723913,63.11723913,65.29369565,66.14990698,69.15672093,64.57837097,62.07153219,67.98458333,71.79919266,66.80364815,70.64293827,70.62896341,71.38033537,69.42843243,71.38033537,68.33035673,66.66161589,68.33035673
38,75.30289855,71.38313869,65.51352174,65.51352174,67.7726087,67.19413953,70.2484186,63.22283065,61.39185837,68.68856944,71.37644037,62.49983333,66.09177778,68.95014634,69.68365854,63.4587027,69.68365854,69.01152632,68.71851656,69.01152632
39,74.99275362,71.40671533,65.24369565,65.24369565,67.49347826,63.34311628,66.22234884,64.82666129,62.30093991,66.99074537,71.28176147,65.36922222,69.12607407,70.96312195,71.71804878,63.28983784,71.71804878,66.67639181,68.40596026,66.67639181
40,75.32318841,71.98919708,65.53117391,65.53117391,67.79086957,65.87004651,68.86413953,63.72877419,62.2592618,68.50488426,73.07537615,65.5877963,69.35720988,70.95796341,71.71283537,65.68486486,71.71283537,68.03819883,69.90111258,68.03819883
41,72.8884058,68.24813869,63.41291304,63.41291304,65.59956522,67.33995349,70.40086047,64.28846774,61.44778541,66.88162963,70.06502752,64.04542593,67.72619753,67.68171951,68.4017378,65.79664865,68.4017378,68.18135088,66.51782781,68.18135088
42,74.56304348,71.55164234,64.86984783,64.86984783,67.10673913,63.822,66.723,64.08491129,62.9432103,68.14509722,71.86788991,64.75753704,68.47923457,70.91382927,71.66823171,65.76097297,71.66823171,67.11968421,69.13221192,67.11968421
43,75.87608696,71.02810219,66.01219565,66.01219565,68.28847826,65.62293023,68.6057907,63.73293548,60.36949785,68.58914352,71.42972477,65.42238889,69.1822963,71.79364634,72.55740854,65.53740541,72.55740854,68.08928655,69.62328477,68.08928655
44,74.64565217,72.58554745,64.94171739,64.94171739,67.18108696,66.32181395,69.33644186,64.91196774,62.28099142,67.00043519,71.54245872,65.29672222,69.04940741,68.22393902,68.94972561,68.70183784,68.94972561,67.76200585,67.56029139,67.76200585
45,73.18043478,68.05675182,63.66697826,63.66697826,65.8623913,65.14148837,68.10246512,63.39205645,61.32061373,68.3755463,72.72792661,63.51590741,67.16624691,70.34696341,71.09533537,65.25081081,71.09533537,68.43040351,68.50649007,68.43040351
46,74.65869565,71.82,64.95306522,64.95306522,67.19282609,65.42697674,68.40093023,65.38566129,62.23147639,66.92544444,70.37152294,65.02014815,68.75693827,70.12629268,70.87231707,62.59654054,70.87231707,67.18460819,69.39907285,67.18460819
47,75.49710145,70.74171533,65.68247826,65.68247826,67.9473913,65.77539535,68.76518605,62.90449194,62.31412017,68.29128704,71.54422018,66.72148148,70.55604938,70.20252439,70.94935976,63.67275676,70.94935976,68.14676023,69.59160265,68.14676023
48,74.34782609,72.33521898,64.6826087,64.6826087,66.91304348,65.5855814,68.56674419,64.62726613,61.25435622,68.69952315,71.44557798,62.72861111,66.3337037,69.49809756,70.23743902,67.07145946,70.23743902,68.25,66.16749669,68.25
49,73.73115942,68.31678832,64.1461087,64.1461087,66.35804348,65.36455814,68.33567442,63.43470968,63.01267382,66.72827778,71.70891743,65.16353704,68.9085679,70.67940244,71.43131098,65.59448649,71.43131098,66.69874269,69.17486093,66.69874269
50,74.73188406,71.37828467,65.01673913,65.01673913,67.25869565,65.86288372,68.85665116,64.27598387,60.8635794,68.47497222,72.64337615,65.73655556,69.51451852,70.86797561,71.62189024,67.37113514,71.62189024,68.14090643,69.17790728,68.14090643
51,75.99130435,71.01215328,66.11243478,66.11243478,68.39217391,66.03223256,69.03369767,63.65699194,62.25249356,67.06110185,70.22047706,64.15390741,67.84091358,68.46008537,69.18838415,66.03210811,69.18838415,69.3111345,68.74410596,69.3111345
52,73.26956522,71.91083942,63.74452174,63.74452174,65.9426087,64.95116279,67.90348837,64.81001613,61.11008584,68.08063889,72.03082569,64.56151852,68.27195062,70.45815854,71.20771341,67.39967568,71.20771341,65.50935673,67.59258278,65.50935673
53,73.84710145,68.67113139,64.24697826,64.24697826,66.4623913,65.87618605,68.87055814,63.76345161,62.49579399,68.60009722,71.05321101,65.35257407,69.10846914,71.6790122,72.44155488,62.58345946,72.44155488,68.66881287,68.92140397,68.66881287
54,74.65942029,71.64109489,64.95369565,64.95369565,67.19347826,66.11665116,69.12195349,64.06757258,61.65938197,66.93639815,71.68777982,65.39392593,69.15219753,67.80495122,68.52628049,63.55027027,68.52628049,69.29250877,70.2173245,69.29250877
55,77.07681159,71.23613139,67.05682609,67.05682609,69.36913043,64.43902326,67.36806977,64.52115323,61.73133906,68.36543519,72.44036697,63.83544444,67.50414815,70.44039024,71.1897561,66.51372973,71.1897561,65.62749708,66.44593377,65.62749708
56,72.40507246,71.42890511,62.99241304,62.99241304,65.16456522,65.91967442,68.91602326,63.51758871,62.92753648,67.27764815,70.47633028,64.86494444,68.59281481,71.08234146,71.83853659,65.77167568,71.83853659,68.29895906,68.54609272,68.29895906
57,74.53985507,68.79248175,64.84967391,64.84967391,67.08586957,66.99255814,70.03767442,65.10512097,60.78129185,67.92812963,72.21930275,66.51257407,70.3351358,69.1329878,69.86844512,66.26756757,69.86844512,69.31166667,69.08834437,69.31166667
58,74.63550725,71.8539781,64.9328913,64.9328913,67.17195652,63.43162791,66.31488372,63.21312097,62.32017597,68.71300463,70.62649541,62.71303704,66.31723457,70.04089024,70.7860061,65.57189189,70.7860061,66.30600585,69.36860927,66.30600585
59,76.51884058,70.87346715,66.5713913,66.5713913,68.86695652,66.29776744,69.31130233,65.24070968,61.00464378,66.84287037,71.73401835,65.18018519,68.92617284,70.0907561,70.83640244,68.71372973,70.83640244,68.14622807,67.3141457,68.14622807
60,72.49637681,71.65635036,63.07184783,63.07184783,65.24673913,67.1127907,70.16337209,62.88091129,62.65039485,68.25547685,72.49453211,65.5937037,69.36345679,71.01012195,71.76554878,63.67751351,71.76554878,68.21753801,68.93480795,68.21753801
61,74.16521739,69.3070073,64.52373913,64.52373913,66.74869565,63.53804651,66.42613953,64.55999194,61.60024893,67.24689352,70.75376147,64.46055556,68.16518519,68.66814634,69.39865854,63.63708108,69.39865854,67.15480702,70.10948344,67.15480702
62,74.94637681,71.17718978,65.20334783,65.20334783,67.45173913,65.6792093,68.66462791,63.20306452,61.6105794,67.98037037,72.04491743,64.43961111,68.14303704,70.66564634,71.41740854,65.39232432,71.41740854,67.91473684,67.0424106,67.91473684
63,76.42681159,71.51350365,66.49132609,66.49132609,68.78413043,67.51646512,70.58539535,64.75904032,62.8694721,68.91564815,70.56836697,65.23066667,68.97955556,71.4440122,72.20405488,65.94291892,72.20405488,67.92378363,68.22866225,67.92378363
64,72.34492754,71.21116788,62.94008696,62.94008696,65.11043478,63.86190698,66.76472093,63.81130645,60.74638197,66.62800926,72.04491743,65.80637037,69.58834568,67.80265854,68.52396341,65.66821622,68.52396341,68.42880702,69.0834702,68.42880702
65,74.46521739,69.43459854,64.78473913,64.78473913,67.01869565,65.62497674,68.60793023,64.30615323,62.46373391,68.1813287,72.12110092,63.44018519,67.08617284,70.56935366,71.32009146,65.97264865,71.32009146,67.04039181,69.92913907,67.04039181
66,75.26449275,70.71328467,65.4801087,65.4801087,67.73804348,66.22562791,69.23588372,64.07970968,60.92021888,67.33115278,71.12499083,65.13077778,68.87392593,71.25257317,72.01057927,68.65783784,72.01057927,68.16325731,65.9895894,68.16325731
