I_mean,I_max,I_min,I_rms,I_std_dev,I_skewness,I_crest_factor,I_form_factor,fault_type
8.096804839,8.27147,8.01802,8.097058176,0.065109539,0.839110185,1.021540147,1.000031288,0
8.046262903,8.15627,7.92586,8.046434671,0.053444772,-0.652840871,1.013650186,1.000021347,0
7.99498,8.08714,7.92586,7.995093516,0.043308663,0.547224707,1.011512871,1.000014198,0
7.97194,8.0641,7.85674,7.972066732,0.045694387,-0.328877232,1.011544468,1.000015897,0
7.959305161,8.0641,7.87978,7.95938872,0.037073983,0.426795484,1.013155694,1.000010498,0
7.952616129,8.04106,7.90282,7.952678781,0.032089228,0.72159371,1.01111339,1.000007878,0
7.955589032,8.01802,7.90282,7.955645412,0.030446264,0.163894587,1.007840293,1.000007087,0
7.932549032,8.01802,7.81066,7.932629321,0.036280282,-0.680315082,1.010764486,1.000010121,0
7.927346452,7.99498,7.87978,7.927413275,0.033087603,0.529554837,1.008523174,1.00000843,0
7.937751613,7.99498,7.85674,7.93781821,0.033053082,-0.505220086,1.007201197,1.00000839,0
7.938494839,7.99498,7.8337,7.938580773,0.037548231,-0.48730789,1.007104447,1.000010825,0
7.940724516,8.04106,7.85674,7.940831365,0.04187469,0.319759443,1.012621932,1.000013456,0
7.927346452,8.01802,7.8337,7.927449997,0.041187497,0.046380271,1.01142486,1.000013062,0
7.907279355,7.97194,7.85674,7.907323575,0.02688177,0.674435559,1.008171719,1.000005592,0
7.91173871,8.04106,7.81066,7.911883023,0.048576502,0.522158646,1.016326957,1.00001824,0
7.916198065,7.99498,7.85674,7.916284102,0.037517815,0.093772718,1.009941015,1.000010868,0
7.88869871,7.9489,7.85674,7.888745765,0.027697504,0.776396184,1.007625323,1.000005965,0
7.876807097,7.92586,7.81066,7.876858711,0.028986442,-0.170932421,1.006220918,1.000006553,0
7.861199355,7.92586,7.76458,7.86126126,0.031713484,-0.535985364,1.008217351,1.000007875,0
7.877550323,7.9489,7.81066,7.877622828,0.034357082,0.240657999,1.009048056,1.000009204,0
7.871604516,7.9489,7.81066,7.871684023,0.035964245,0.245437178,1.009809334,1.0000101,0
7.880523226,7.9489,7.78762,7.880598157,0.034933721,-0.119350648,1.008667089,1.000009508,0
7.913968387,8.04106,7.8337,7.914056822,0.038031575,0.957267044,1.016047797,1.000011174,0
7.912481935,7.99498,7.8337,7.912600475,0.044027583,-0.158835263,1.010411182,1.000014981,0
7.909509032,7.99498,7.81066,7.90960904,0.040432213,-0.120162596,1.010793322,1.000012644,0
7.900590323,7.99498,7.8337,7.900727638,0.047350737,0.43436614,1.01192958,1.00001738,0
7.884239355,7.9489,7.78762,7.884316282,0.035404394,-0.229368583,1.008191416,1.000009757,0
7.866401935,7.92586,7.81066,7.866477633,0.035080468,0.072858366,1.007548787,1.000009623,0
7.876063871,7.9489,7.8337,7.87612061,0.030389969,0.689184442,1.009240512,1.000007204,0
7.866401935,7.9489,7.81066,7.866490694,0.037986522,0.366688442,1.010475994,1.000011283,0
7.864172258,7.9489,7.81066,7.864268909,0.039633755,0.427338593,1.01076147,1.00001229,0
7.866401935,7.9489,7.78762,7.866475456,0.034572385,-0.150458218,1.010477951,1.000009346,0
8.031399355,8.20235,7.8337,8.032000129,0.099860722,-0.760453099,1.021208898,1.000074803,0
8.08639871,8.27147,7.99498,8.086630578,0.062249546,1.239976634,1.022857409,1.000028674,0
7.989034194,8.08714,7.92586,7.989162729,0.046067611,0.514346887,1.012263772,1.000016089,0
7.983831613,8.08714,7.85674,7.983964314,0.046792936,-0.433275276,1.012922864,1.000016621,0
7.961534839,8.0641,7.87978,7.961622675,0.038016563,0.313425459,1.012871412,1.000011033,0
7.946670323,8.04106,7.90282,7.946722804,0.029358203,1.32906976,1.011871208,1.000006604,0
7.956332258,7.99498,7.90282,7.956382593,0.028769016,-0.115415489,1.004851125,1.000006326,0
7.942954194,8.01802,7.90282,7.943029579,0.035177959,0.587409885,1.009441035,1.000009491,0
7.92586,7.99498,7.81066,7.925948581,0.038091561,-0.473102012,1.008709547,1.000011176,0
7.931805806,7.99498,7.85674,7.931870503,0.032565958,-0.415574247,1.007956446,1.000008157,0
7.937751613,7.99498,7.8337,7.937826839,0.035129247,-0.665989691,1.007200102,1.000009477,0
7.948156774,8.04106,7.85674,7.948259075,0.040993019,0.165699037,1.011675629,1.000012871,0
7.931062581,8.01802,7.85674,7.931143999,0.036531142,0.299933951,1.010953779,1.000010266,0
7.907279355,7.97194,7.8337,7.907340899,0.031713484,0.283817174,1.00816951,1.000007783,0
7.913225161,8.04106,7.81066,7.913361141,0.047157468,0.710083409,1.01613712,1.000017184,0
7.915454839,7.99498,7.8337,7.915554003,0.040276622,-0.126308049,1.010034168,1.000012528,0
7.890928387,7.9489,7.85674,7.890980189,0.029065102,0.464761966,1.007340002,1.000006565,0
7.876807097,7.92586,7.81066,7.876858711,0.028986442,-0.063568985,1.006220918,1.000006553,0
7.871604516,7.92586,7.81066,7.871657919,0.029474628,0.113167665,1.006885726,1.000006784,0
7.870118065,7.92586,7.76458,7.870206781,0.037986522,-0.414392191,1.007071379,1.000011273,0
7.873834194,7.9489,7.81066,7.873912415,0.035677419,0.347628326,1.009523548,1.000009934,0
7.875320645,7.9489,7.78762,7.875393311,0.034390293,-0.096064857,1.009333717,1.000009227,0
7.908022581,8.04106,7.8337,7.908123724,0.040657463,1.033345676,1.016810091,1.00001279,0
7.922887097,7.99498,7.8337,7.922977314,0.038434668,-0.611120177,1.009087832,1.000011387,0
7.896130968,7.97194,7.81066,7.896215964,0.037242955,-0.050355071,1.009589914,1.000010764,0
7.90282,7.99498,7.8337,7.902960842,0.047961585,0.450312649,1.011643631,1.000017822,0
7.889441935,7.97194,7.78762,7.889552139,0.042389507,0.119920652,1.010442654,1.000013969,0
7.871604516,7.9489,7.81066,7.871688374,0.036935157,-0.047952454,1.009808776,1.000010653,0
7.876063871,7.9489,7.8337,7.876124958,0.031532984,0.727221181,1.009239955,1.000007756,0
7.867888387,7.9489,7.81066,7.86797081,0.036609184,0.19132278,1.010285904,1.000010476,0
7.855996774,7.92586,7.81066,7.856061041,0.032301976,0.448773407,1.008884727,1.000008181,0
7.879036774,7.9489,7.81066,7.879118239,0.036421604,0.056429768,1.008856544,1.000010339,0
7.984576129,8.20235,7.78762,7.985502235,0.123624382,-0.023262136,1.027155182,1.000115987,0
8.085655484,8.27147,7.99498,8.085896801,0.063502354,1.164488133,1.022950231,1.000029845,0
8.005385161,8.08714,7.92586,8.005549521,0.052146706,0.168838084,1.01019174,1.000020531,0
7.987547742,8.08714,7.85674,7.987675057,0.045844041,-0.470483121,1.012452302,1.000015939,0
7.968967097,8.0641,7.90282,7.969058941,0.038892328,0.438233057,1.011926259,1.000011525,0
7.943697419,8.04106,7.87978,7.943750685,0.029571298,0.755599228,1.012249795,1.000006705,0
7.954102581,8.01802,7.90282,7.954164388,0.031875059,0.131149798,1.008027947,1.00000777,0
7.948156774,8.01802,7.90282,7.948224604,0.033379583,0.340926628,1.008781256,1.000008534,0
7.92586,7.99498,7.81066,7.925942099,0.036671497,-0.68928454,1.008710372,1.000010358,0
7.928832903,7.99498,7.85674,7.928901456,0.033516105,-0.030570142,1.008333884,1.000008646,0
7.941467742,7.99498,7.8337,7.941550514,0.036857806,-0.736866785,1.006727841,1.000010423,0
7.951872903,8.04106,7.90282,7.951947718,0.035064193,0.617003136,1.011206347,1.000009408,0
7.928089677,8.01802,7.85674,7.928183319,0.039170186,0.317598546,1.011331307,1.000011811,0
7.912481935,7.97194,7.8337,7.912559356,0.035581297,0.219622226,1.007504606,1.000009785,0
7.908765806,8.04106,7.81066,7.908863169,0.039892145,0.850134767,1.016715023,1.000012311,0
7.918427742,8.01802,7.8337,7.918554005,0.045456426,0.148697318,1.012561131,1.000015946,0
7.896874194,7.9489,7.85674,7.896939177,0.032565958,0.18844618,1.006579869,1.000008229,0
7.881266452,7.92586,7.81066,7.881318457,0.029104353,-0.234642748,1.005651534,1.000006599,0
7.873090968,7.92586,7.81066,7.873137063,0.027386636,-0.155381636,1.00669656,1.000005855,0
7.864915484,7.92586,7.76458,7.865003768,0.037881192,-0.085894252,1.007737597,1.000011225,0
7.879036774,7.9489,7.81066,7.879105199,0.033379583,0.130005712,1.008858214,1.000008684,0
7.869374839,7.92586,7.78762,7.869448472,0.03460539,0.026788393,1.007168422,1.000009357,0
7.905049677,8.04106,7.8337,7.905163088,0.043044261,0.997651882,1.017190906,1.000014347,0
7.927346452,7.99498,7.87978,7.927398155,0.029104353,0.40174017,1.008525098,1.000006522,0
7.891671613,7.9489,7.8337,7.891734259,0.031964471,-0.39590557,1.007243749,1.000007938,0
7.910252258,7.99498,7.81066,7.910389476,0.04736279,0.198014843,1.010693598,1.000017347,0
7.887212258,7.97194,7.78762,7.887354219,0.048104186,0.244316,1.010724228,1.000017999,0
7.875320645,7.9489,7.81066,7.875395485,0.034901027,-0.38754064,1.009333438,1.000009503,0
7.871604516,7.9489,7.8337,7.871673146,0.033413766,0.882597539,1.009810729,1.000008719,0
7.875320645,7.9489,7.81066,7.875391137,0.033871859,0.088290856,1.009333995,1.000008951,0
7.853023871,7.92586,7.81066,7.853085137,0.031532984,0.310240539,1.009267041,1.000007802,0
7.876807097,7.9489,7.81066,7.876886972,0.036059347,-0.106778046,1.009142321,1.000010141,0
7.938495806,8.20235,7.78762,7.93934317,0.11791004,0.827214968,1.033127026,1.000106741,0
8.08862871,8.27147,8.01802,8.088867823,0.063223356,1.149199557,1.022574504,1.000029562,0
8.016533548,8.11018,7.92586,8.016738471,0.058267513,-0.041537966,1.011655804,1.000025563,0
7.997952903,8.08714,7.90282,7.998063684,0.042791566,0.066047092,1.011137235,1.000013851,0
7.965250968,8.04106,7.85674,7.965350275,0.040432213,-0.433680351,1.009504883,1.000012468,0
7.952616129,8.0641,7.87978,7.95270462,0.038136489,0.904354561,1.014007232,1.000011127,0
7.954102581,8.01802,7.90282,7.954157929,0.030163738,0.219304414,1.008028766,1.000006959,0
7.950386452,8.01802,7.90282,7.950440159,0.029706107,0.171886127,1.008500138,1.000006755,0
7.925116774,8.01802,7.81066,7.925206409,0.038315675,-0.270927976,1.011711189,1.00001131,0
7.930319355,7.99498,7.85674,7.930391517,0.034390293,0.160353386,1.008144426,1.0000091,0
7.945183871,7.99498,7.87978,7.945248737,0.032635992,-0.297682698,1.006259246,1.000008164,0
7.944440645,8.04106,7.8337,7.944536389,0.039648154,-0.057277316,1.012149685,1.000012052,0
7.932549032,8.01802,7.85674,7.932653067,0.041298217,0.199793959,1.010761461,1.000013115,0
7.915454839,7.97194,7.8337,7.915530207,0.035112995,0.052920775,1.007126471,1.000009522,0
7.910995484,8.04106,7.81066,7.91110057,0.041449973,0.71141769,1.016427478,1.000013284,0
7.914711613,8.01802,7.8337,7.914815184,0.041159771,0.271820591,1.013039447,1.000013086,0
7.905792903,7.99498,7.85674,7.905883316,0.038434668,0.334793409,1.011269669,1.000011436,0
7.882752903,7.92586,7.81066,7.882802306,0.028369427,-0.375503908,1.005462232,1.000006267,0
7.874577419,7.92586,7.81066,7.874626803,0.028349299,0.002388475,1.006506111,1.000006271,0
7.867888387,7.92586,7.76458,7.867972987,0.037089376,-0.302059436,1.007357297,1.000010753,0
7.876807097,7.9489,7.8337,7.876854363,0.02773869,0.630924427,1.009146499,1.000006001,0
7.864172258,7.9489,7.78762,7.864266731,0.039184755,0.369296917,1.01076175,1.000012013,0
7.902076774,8.04106,7.8337,7.90218834,0.04268472,1.193389252,1.017573823,1.000014119,0
7.917684516,7.99498,7.85674,7.917735445,0.028868049,0.407954366,1.00975589,1.000006432,0
7.900590323,7.97194,7.8337,7.900690792,0.040502738,-0.000368559,1.009018098,1.000012717,0
7.912481935,7.99498,7.81066,7.912615624,0.046756327,0.099263355,1.010409248,1.000016896,0
7.895387742,7.97194,7.8337,7.895492686,0.041381062,0.262568088,1.009682399,1.000013292,0
7.873834194,7.9489,7.78762,7.873927639,0.038994927,-0.227372038,1.009521596,1.000011868,0
7.869374839,7.9489,7.81066,7.869435416,0.031387838,0.652358193,1.010097876,1.000007698,0
7.876063871,7.9489,7.81066,7.876133655,0.033702921,0.22985562,1.009238841,1.00000886,0
7.862685806,7.92586,7.81066,7.862755428,0.033635108,0.27450949,1.008025758,1.000008855,0
7.864915484,7.9489,7.81066,7.865012476,0.039705698,0.325610958,1.010665911,1.000012332,0
7.895388387,8.20235,7.78762,7.895894575,0.090883452,2.336742314,1.038811996,1.000064112,0
8.093088387,8.27147,8.01802,8.093325321,0.062951973,0.968132322,1.022011308,1.000029276,0
8.033627742,8.11018,7.92586,8.033786299,0.051308067,-0.667837055,1.009509053,1.000019737,0
7.998696129,8.08714,7.92586,7.998816222,0.044555958,0.406875663,1.011042106,1.000015014,0
7.964507742,8.04106,7.85674,7.964618225,0.042644584,-0.334363583,1.00959767,1.000013872,0
7.95781871,8.0641,7.87978,7.95790624,0.037941417,0.428674824,1.013344435,1.000010999,0
7.954845806,8.04106,7.90282,7.954908163,0.032017998,0.698567251,1.010830023,1.000007839,0
7.956332258,8.01802,7.90282,7.956382593,0.028769016,0.104216759,1.007746913,1.000006326,0
7.928832903,8.01802,7.81066,7.928914414,0.036546764,-0.493582219,1.011238056,1.00001028,0
7.923630323,7.99498,7.85674,7.923706728,0.035372135,0.468293207,1.008994941,1.000009643,0
7.945927097,7.99498,7.87978,7.945976107,0.028369427,-0.19710678,1.006167133,1.000006168,0
7.937008387,7.99498,7.8337,7.937085778,0.03562939,-0.603684367,1.007294141,1.000009751,0
7.941467742,8.04106,7.85674,7.941580702,0.04305752,0.308099563,1.012526385,1.000014224,0
7.921400645,8.01802,7.8337,7.921503152,0.040965161,0.16033782,1.012184158,1.000012941,0
7.905792903,7.97194,7.85674,7.90583783,0.027093274,0.786138192,1.008361185,1.000005683,0
7.913225161,8.04106,7.81066,7.91337196,0.048997693,0.427249175,1.016135731,1.000018551,0
7.916198065,7.99498,7.85674,7.916284102,0.037517815,0.093772718,1.009941015,1.000010868,0
