test,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,max20,max21,max22,max23,max24,max25,max26,max27,max28,max29
1,8.11018,6.169,6.376,6.359,13.72,6.204,6.532,6.411,6.307,6.463,6.743,6.29,6.895,6.929,6.446,6.325,6.307,6.273,6.722,6.601,6.204,6.376,6.411,6.48,6.618,6.134,6.843,6.29,6.325,6.411
2,8.11018,6.186,6.376,6.342,6.48,6.186,6.532,6.394,6.325,6.446,6.791,6.342,6.895,6.912,6.463,6.325,6.307,6.307,6.705,6.584,6.186,6.376,6.411,6.463,6.636,6.117,6.86,6.307,6.307,6.376
3,8.13323,6.169,6.394,6.359,6.584,6.186,6.532,6.411,6.342,6.463,6.912,6.325,6.912,6.929,6.48,6.325,6.307,6.29,6.705,6.601,6.169,6.376,6.411,6.48,6.636,6.117,6.86,6.307,6.325,6.411
4,8.11018,6.186,6.376,6.325,6.584,6.204,6.532,6.376,6.325,6.463,6.895,6.325,6.895,6.912,6.463,6.325,6.307,6.29,6.687,6.601,6.186,6.376,6.376,6.48,6.636,6.083,6.86,6.273,6.29,6.394
5,8.0641,6.186,6.411,6.359,6.566,6.221,6.532,6.376,6.342,6.48,6.86,6.342,6.878,6.929,6.428,6.342,6.307,6.307,6.705,6.584,6.152,6.376,6.359,6.463,6.653,6.1,6.843,6.29,6.325,6.394
6,8.13323,6.204,6.394,6.342,6.566,6.204,6.497,6.394,6.342,6.463,6.843,6.307,6.878,6.895,6.446,6.325,6.29,6.273,6.687,6.618,6.186,6.376,6.394,6.463,6.618,6.1,6.826,6.273,6.307,6.411
7,8.0641,6.204,6.411,6.359,6.549,6.186,6.515,6.376,6.359,6.463,6.843,6.307,6.878,6.912,6.428,6.325,6.29,6.307,6.705,6.566,6.169,6.394,6.376,6.497,6.618,6.1,6.826,6.29,6.307,6.394
8,8.15627,6.186,6.376,6.307,6.549,6.186,6.549,6.394,6.325,6.497,6.86,6.325,6.895,6.895,6.446,6.307,6.307,6.273,6.687,6.566,6.186,6.359,6.376,6.463,6.636,6.117,6.826,6.307,6.29,6.411
9,8.08714,6.186,6.376,6.376,6.566,6.221,6.532,6.376,6.342,6.463,6.878,6.325,6.895,6.912,6.446,6.307,6.307,6.29,6.67,6.584,6.204,6.376,6.376,6.497,6.653,6.117,6.808,6.255,6.29,6.394
10,8.08714,6.186,6.394,6.394,6.549,6.186,6.497,6.394,6.325,6.446,6.878,6.325,6.878,6.947,6.446,6.307,6.29,6.29,6.705,6.584,6.186,6.394,6.376,6.463,6.618,6.134,6.843,6.273,6.29,6.411
11,8.0641,6.186,6.394,6.342,6.532,6.169,6.515,6.394,6.359,6.463,6.86,6.307,6.878,6.929,6.463,6.307,6.307,6.29,6.687,6.566,6.204,6.411,6.446,6.463,6.653,6.117,6.843,6.29,6.307,6.376
12,8.11018,6.204,6.376,6.307,6.549,6.186,6.497,6.428,6.342,6.463,6.808,6.29,6.878,6.912,6.446,6.342,6.307,6.29,6.67,6.584,6.221,6.376,6.376,6.428,6.67,6.134,6.826,6.307,6.29,6.411
13,8.0641,6.186,6.376,6.394,6.532,6.186,6.515,6.394,6.446,6.463,6.791,6.29,6.86,6.912,6.446,6.29,6.307,6.29,6.705,6.549,6.238,6.376,6.394,6.446,6.653,6.117,6.808,6.29,6.342,6.411
14,8.0641,6.221,6.376,6.411,6.532,6.186,6.515,6.411,6.376,6.446,6.791,6.307,6.895,6.912,6.428,6.307,6.307,6.29,6.705,6.566,6.186,6.411,6.394,6.48,6.653,6.134,6.808,6.29,6.29,6.394
15,8.20235,6.186,6.411,6.376,6.515,6.204,6.532,6.394,6.376,6.48,6.791,6.29,6.843,6.912,6.428,6.325,6.307,6.273,6.687,6.566,6.152,6.376,6.394,6.446,6.653,6.134,6.808,6.255,6.307,6.376
16,8.17931,6.186,6.376,6.394,6.566,6.169,6.515,6.394,6.342,6.463,6.826,6.307,6.878,6.912,6.428,6.342,6.29,6.273,6.67,6.566,6.152,6.376,6.394,6.463,6.653,6.117,6.826,6.255,6.29,6.376
