F_mean,F_max,F_min,F_rms,F_std_dev,F_skewness,F_crest_factor,F_form_factor,fault_type
72.39830508,531,51,85.09919436,44.91609268,9.4044051,6.23977705,1.175430754,0
63.02542373,77,42,63.37078138,6.63513294,-0.442525189,1.215071021,1.005479656,0
62.39830508,77,42,62.77677699,6.912320019,-0.958235834,1.226568226,1.00606542,0
62.5,77,51,62.74436973,5.555854693,-0.206997405,1.227201745,1.003909916,0
61.15254237,77,42,61.64166542,7.782982882,-0.572239783,1.249155088,1.007998409,0
62.11864407,77,42,62.43790135,6.332887287,-0.357600009,1.233225306,1.005139476,0
61.33898305,68,42,61.62365273,5.941625348,-0.757082313,1.1034724,1.004640926,0
63.18644068,77,51,63.45090188,5.811790481,-0.342768962,1.21353673,1.004185411,0
62.6440678,77,51,62.86021619,5.230622234,-0.313286872,1.224940108,1.003450421,0
61.23728814,77,42,61.60343376,6.735132999,-0.790261323,1.249930325,1.005979129,0
62.25423729,77,51,62.52430036,5.829759258,-0.425162307,1.231521177,1.004338067,0
62.34745763,68,51,62.56786146,5.269452555,-0.496783086,1.086819949,1.003535089,0
69.37288136,342,51,75.79108216,30.65378676,7.610873653,4.512404233,1.092517432,0
63.24576271,85,42,63.7152697,7.753616681,-0.819283864,1.334060115,1.007423533,0
63.48305085,77,42,63.80140002,6.392748363,-1.066184191,1.206870068,1.005014711,0
62.07627119,68,42,62.38406196,6.215718673,-0.753540037,1.090022,1.004958268,0
63.19491525,77,51,63.51050894,6.350527907,-0.675454989,1.212397779,1.004993973,0
61.78813559,77,42,62.12951208,6.531778589,-0.55731751,1.239346607,1.005524952,0
63.60169492,77,51,63.81760291,5.267445302,-0.641799985,1.206563652,1.003394689,0
61.22881356,77,42,61.58286411,6.622173342,-0.552326226,1.250347822,1.005782417,0
60.94915254,77,51,61.27971434,6.383535791,-0.217545006,1.256533273,1.005423567,0
64.20338983,68,51,64.40812666,5.153306667,-1.107004883,1.055767393,1.003188879,0
60.86440678,68,51,61.10632578,5.455202573,-0.28552502,1.112814412,1.00397472,0
63.44067797,77,42,63.71759728,5.959324193,-0.832775401,1.208457369,1.004365012,0
65.44067797,77,51,65.62605931,4.950252299,-0.433370036,1.173314394,1.002832815,0
61.33898305,68,51,61.60137022,5.70383038,-0.384924143,1.103871549,1.004277658,0
61.55932203,68,42,61.95925397,7.058416051,-1.133729084,1.097495461,1.006496692,0
62.71186441,68,51,62.90859659,4.992475869,-0.476679918,1.080933349,1.003137081,0
64.24576271,77,51,64.48038724,5.519098837,-0.420581195,1.194161563,1.003651985,0
62.36440678,77,42,62.72153957,6.712235612,-0.8473588,1.227648437,1.005726548,0
62.74576271,77,51,63.08710685,6.581749489,-0.211395027,1.220534652,1.005440115,0
72.26271186,531,51,84.99715848,44.9414487,9.397354757,6.247267668,1.176224311,0
64.19491525,77,51,64.47013499,5.976104089,-0.165603802,1.194351462,1.004287251,0
63.37288136,77,42,63.62908939,5.728615546,-0.931392092,1.21013833,1.004042866,0
