 P_mean,P_max, P_min, P_rms, P_std_dev, P_skewness, P_crest_factor, P_form_factor,fault_type
73.74275362,95.4,39,74.91637512,13.25681143,-0.699689611,1.273419861,1.015915076,0
74.1942029,93.9,39.2,75.16709309,12.09846324,-0.904009471,1.24921686,1.013112752,0
74.67028986,93.3,44.1,75.81418599,13.16795718,-0.712876176,1.230640398,1.015319294,0
76.46304348,94.6,35.1,77.4381993,12.29524907,-0.932181829,1.221619315,1.012753296,0
72.35869565,95.4,39,73.51573281,13.03894631,-0.702123086,1.297681413,1.015990299,0
74.77608696,93.9,39.2,75.79283693,12.41806757,-0.912722856,1.238903356,1.013597261,0
74.32463768,93.3,45,75.39625755,12.71278919,-0.657907411,1.237461951,1.014418097,0
76.69855072,94.6,35.1,77.65042438,12.16524297,-0.902042938,1.218280528,1.012410582,0
72.48478261,95.4,39,73.6384317,13.03093961,-0.760324968,1.295519171,1.015915742,0
74.26231884,93.9,39.2,75.33926647,12.73927316,-0.866972096,1.246362015,1.014501939,0
74.90217391,93.3,45,75.91774582,12.42121136,-0.723381463,1.228961674,1.013558644,0
76.88695652,94.6,35.1,77.84724544,12.23413811,-0.882285578,1.215200351,1.012489621,0
71.87536232,95.4,39,73.00714577,12.85194644,-0.692438579,1.306721404,1.015746473,0
74.3942029,93.9,39.2,75.48152956,12.81223621,-0.95489382,1.244012947,1.014615744,0
75.37608696,93.5,45,76.40794262,12.56035098,-0.692935333,1.223694773,1.01368943,0
76.31666667,94.6,35.1,77.26423747,12.10747844,-0.881630228,1.224369813,1.012416302,0
71.94927536,95.4,39,73.0796984,12.85071072,-0.703494524,1.305424107,1.015711389,0
74.92101449,93.9,39.2,76.03811544,13.03332311,-0.946701836,1.234906987,1.014910382,0
74.86376812,93.5,45,75.90101391,12.55076083,-0.601265455,1.231867602,1.013855111,0
76.02028986,94.6,35.1,77.0385486,12.52960966,-0.993134189,1.227956675,1.013394565,0
72.24492754,95.4,39,73.25063783,12.14061214,-0.733443577,1.302377738,1.013920843,0
74.72681159,93.9,39.2,75.94045961,13.57172641,-0.90336422,1.236495018,1.016241132,0
74.81304348,93.5,47,75.77624862,12.08747814,-0.548982752,1.233895867,1.012874829,0
76.33695652,94.6,35.1,77.33030557,12.3999769,-1.047873341,1.223323758,1.013012689,0
71.85072464,95.4,39,72.9633559,12.73973178,-0.737796765,1.307505649,1.015485317,0
74.82028986,93.9,41.5,75.95526048,13.12916272,-0.811048391,1.236254071,1.015169289,0
74.89855072,93.5,35.1,75.96361352,12.72204814,-0.767645355,1.230852452,1.014220072,0
76.49275362,94.6,38.4,77.41819057,11.97808606,-0.920827942,1.221935043,1.012098361,0
71.68768116,95.4,39,72.7591316,12.48588372,-0.776151268,1.311175627,1.014946089,0
75.59927536,93.9,41.5,76.7064473,13.03301533,-0.862636263,1.224147426,1.014645272,0
74.3673913,93.5,35.1,75.40585214,12.51674594,-0.737657565,1.239956812,1.013963927,0
75.87536232,94.6,38.4,76.99907585,13.15450472,-0.967419627,1.228586174,1.014809992,0
72.25217391,95.4,39.2,73.15235342,11.48240302,-0.782270473,1.304127558,1.012458857,0
75.11231884,93.9,41.5,76.3414721,13.69374866,-0.792852509,1.22999986,1.016364203,0
75.04855072,93.5,35.1,75.99291491,11.98663024,-0.79640881,1.23037786,1.012583377,0
75.20362319,94.6,38.4,76.39238855,13.47321435,-0.915955703,1.238343267,1.015807288,0
72.54855072,95.4,39.2,73.41424012,11.28187769,-0.810351042,1.299475413,1.011932553,0
75.30289855,93.9,41.5,76.5412364,13.76251623,-0.797451218,1.226789694,1.016444757,0
74.99275362,93.5,35.1,75.91972782,11.87068177,-0.76504912,1.231563952,1.01236085,0
75.32318841,95.4,38.4,76.55354951,13.71959167,-0.930122019,1.246186501,1.016334427,0
72.8884058,93.9,39.2,73.71421411,11.04306813,-0.804112984,1.273838447,1.011329762,0
74.56304348,93.3,41.5,75.84021007,13.91014478,-0.745884578,1.230218111,1.017128681,0
75.87608696,93.5,35.1,76.74648318,11.56770331,-0.840259695,1.218296867,1.011471285,0
74.64565217,95.4,38.4,75.86636946,13.60418098,-0.84588557,1.25747417,1.016353495,0
73.18043478,93.9,39.2,74.18077557,12.18554162,-0.770956013,1.265826615,1.013669511,0
74.65869565,93.3,44.1,75.8126108,13.22491968,-0.747616429,1.230665967,1.015455871,0
75.49710145,93.5,35.1,76.4356213,11.98468574,-0.91682933,1.223251652,1.012431204,0
74.34782609,95.4,39,75.53323196,13.37784538,-0.763715562,1.26302023,1.015944056,0
