TimeStamp_C,,Values_N,Values_30,Values_45,Values_60
00:00.1,,,61.67,0,50
00:00.2,,,61.67,0,50
00:00.3,,0,61.67,0,50
00:00.4,,0,61.67,0,41.67
00:00.5,,0,61.67,0,50
00:00.6,,0,61.67,0,50
00:00.7,,0,61.67,0,50
00:00.8,,8.75,61.67,0,50
00:00.9,,0,61.67,0,50
00:01.0,,0,61.67,8.33,41.67
00:01.1,,8.33,61.67,0,50
00:01.2,,0,61.67,8.33,50
00:01.3,,41.67,61.67,33.33,41.67
00:01.4,,58.33,61.67,58.33,50
00:01.5,,66.67,61.67,66.67,50
00:01.6,,75,61.67,58.33,50
00:01.7,,66.67,61.67,58.33,50
00:01.8,,66.67,61.67,66.67,41.67
00:01.9,,66.67,61.67,58.33,50
00:02.0,,75,61.67,58.33,50
00:02.1,,66.67,53.33,58.33,50
00:02.2,,66.67,61.67,58.33,41.67
00:02.3,,66.67,53.33,58.33,50
00:02.4,,66.67,53.33,66.67,50
00:02.5,,75,61.67,58.33,50
00:02.6,,66.67,53.33,58.33,50
00:02.7,,66.67,53.33,58.33,50
00:02.8,,66.67,53.33,58.33,50
00:02.9,,66.67,53.33,66.67,41.67
00:03.0,,75,53.33,58.33,50
00:03.1,,66.67,53.33,58.33,50
00:03.2,,66.67,45,58.33,50
00:03.3,,66.67,53.33,58.33,50
00:03.4,,66.67,45,58.33,50
00:03.5,,75,45,58.33,41.67
00:03.6,,66.67,53.33,66.67,50
00:03.7,,66.67,53.33,58.33,50
00:03.8,,66.67,53.33,58.33,50
00:03.9,,58.33,61.67,58.33,50
00:04.0,,66.67,61.67,58.33,50
00:04.1,,58.33,61.67,50,50
00:04.2,,50,53.33,58.33,50
00:04.3,,58.33,61.67,50,50
00:04.4,,50,61.67,50,41.67
00:04.5,,50,61.67,41.67,50
00:04.6,,50,61.67,50,50
00:04.7,,50,61.67,50,50
00:04.8,,50,61.67,50,50
00:04.9,,41.67,61.67,50,50
00:05.0,,50,61.67,50,50
00:05.1,,50,61.67,58.33,50
00:05.2,,50,61.67,50,41.67
00:05.3,,50,61.67,58.33,50
00:05.4,,58.33,53.33,50,50
00:05.5,,58.33,61.67,58.33,50
00:05.6,,50,61.67,58.33,50
00:05.7,,66.67,53.33,50,50
00:05.8,,58.33,61.67,58.33,50
00:05.9,,66.67,53.33,58.33,41.67
00:06.0,,58.33,53.33,58.33,50
00:06.1,,66.67,61.67,58.33,50
00:06.2,,66.67,53.33,58.33,50
00:06.3,,66.67,61.67,58.33,50
00:06.4,,66.67,61.67,58.33,50
00:06.5,,66.67,61.67,58.33,41.67
00:06.6,,66.67,53.33,58.33,50
00:06.7,,66.67,61.67,58.33,50
00:06.8,,66.67,53.33,58.33,50
00:06.9,,75,61.67,66.67,50
00:07.0,,66.67,61.67,58.33,41.67
00:07.1,,66.67,61.67,58.33,50
00:07.2,,66.67,61.67,58.33,50
00:07.3,,66.67,61.67,58.33,50
00:07.4,,66.67,61.67,58.33,50
00:07.5,,58.33,53.33,66.67,50
00:07.6,,66.67,61.67,58.33,41.67
00:07.7,,58.33,61.67,58.33,50
00:07.8,,58.33,61.67,58.33,50
00:07.9,,50,61.67,58.33,50
00:08.0,,58.33,61.67,58.33,50
00:08.1,,58.33,61.67,58.33,41.67
00:08.2,,58.33,53.33,58.33,50
00:08.3,,58.33,61.67,58.33,50
00:08.4,,50,53.33,58.33,50
00:08.5,,58.33,61.67,58.33,50
00:08.6,,58.33,61.67,58.33,50
