TimeStamp,,,,TimeStamp,,Specification,Values_0,Unit,TimeStamp_30,,Values_30
16:10:59.619 -> Flow rate: 66.67 L/m,,,,10:59.6,->,Flow rate:,66.67,L/m,00:00.1,,61.67
16:10:59.689 -> Flow rate: 66.67 L/m,,,,10:59.7,->,Flow rate:,66.67,L/m,00:00.2,,61.67
16:10:59.784 -> Flow rate: 66.67 L/m,,,,10:59.8,->,Flow rate:,66.67,L/m,00:00.3,,61.67
16:10:59.877 -> Flow rate: 66.67 L/m,,,,10:59.9,->,Flow rate:,66.67,L/m,00:00.4,,61.67
16:10:59.973 -> Flow rate: 66.67 L/m,,,,11:00.0,->,Flow rate:,66.67,L/m,00:00.5,,61.67
16:11:00.067 -> Flow rate: 66.67 L/m,,,,11:00.1,->,Flow rate:,66.67,L/m,00:00.6,,61.67
16:11:00.209 -> Flow rate: 66.67 L/m,,,,11:00.2,->,Flow rate:,66.67,L/m,00:00.7,,61.67
16:11:00.304 -> Flow rate: 66.67 L/m,,,,11:00.3,->,Flow rate:,66.67,L/m,00:00.8,,61.67
16:11:00.401 -> Flow rate: 66.67 L/m,,,,11:00.4,->,Flow rate:,66.67,L/m,00:00.9,,61.67
16:11:00.493 -> Flow rate: 66.67 L/m,,,,11:00.5,->,Flow rate:,66.67,L/m,00:01.0,,61.67
16:11:00.587 -> Flow rate: 66.67 L/m,,,,11:00.6,->,Flow rate:,66.67,L/m,00:01.1,,61.67
16:11:00.681 -> Flow rate: 66.67 L/m,,,,11:00.7,->,Flow rate:,66.67,L/m,00:01.2,,61.67
16:11:00.776 -> Flow rate: 66.67 L/m,,,,11:00.8,->,Flow rate:,66.67,L/m,00:01.3,,61.67
16:11:00.872 -> Flow rate: 66.67 L/m,,,,11:00.9,->,Flow rate:,66.67,L/m,00:01.4,,61.67
16:11:00.966 -> Flow rate: 66.67 L/m,,,,11:01.0,->,Flow rate:,66.67,L/m,00:01.5,,61.67
16:11:01.106 -> Flow rate: 66.67 L/m,,,,11:01.1,->,Flow rate:,66.67,L/m,00:01.6,,61.67
16:11:01.200 -> Flow rate: 66.67 L/m,,,,11:01.2,->,Flow rate:,66.67,L/m,00:01.7,,61.67
16:11:01.296 -> Flow rate: 66.67 L/m,,,,11:01.3,->,Flow rate:,66.67,L/m,00:01.8,,61.67
16:11:01.391 -> Flow rate: 66.67 L/m,,,,11:01.4,->,Flow rate:,66.67,L/m,00:01.9,,61.67
16:11:01.485 -> Flow rate: 66.67 L/m,,,,11:01.5,->,Flow rate:,66.67,L/m,00:02.0,,61.67
16:11:01.579 -> Flow rate: 58.33 L/m,,,,11:01.6,->,Flow rate:,58.33,L/m,00:02.1,,53.33
16:11:01.673 -> Flow rate: 66.67 L/m,,,,11:01.7,->,Flow rate:,66.67,L/m,00:02.2,,61.67
16:11:01.767 -> Flow rate: 58.33 L/m,,,,11:01.8,->,Flow rate:,58.33,L/m,00:02.3,,53.33
16:11:01.908 -> Flow rate: 58.33 L/m,,,,11:01.9,->,Flow rate:,58.33,L/m,00:02.4,,53.33
