TimeStamp,,,,TimeStamp,,Specification,Values_60,Unit,TimeStamp_60
16:30:21.721 -> Flow rate: 50.00 L/m,,,,30:21.7,->,Flow rate:,50,L/m,00:00.1
16:30:21.800 -> Flow rate: 50.00 L/m,,,,30:21.8,->,Flow rate:,50,L/m,00:00.2
16:30:21.893 -> Flow rate: 50.00 L/m,,,,30:21.9,->,Flow rate:,50,L/m,00:00.3
16:30:21.987 -> Flow rate: 41.67 L/m,,,,30:22.0,->,Flow rate:,41.67,L/m,00:00.4
16:30:22.128 -> Flow rate: 50.00 L/m,,,,30:22.1,->,Flow rate:,50,L/m,00:00.5
16:30:22.222 -> Flow rate: 50.00 L/m,,,,30:22.2,->,Flow rate:,50,L/m,00:00.6
16:30:22.316 -> Flow rate: 50.00 L/m,,,,30:22.3,->,Flow rate:,50,L/m,00:00.7
16:30:22.410 -> Flow rate: 50.00 L/m,,,,30:22.4,->,Flow rate:,50,L/m,00:00.8
16:30:22.503 -> Flow rate: 50.00 L/m,,,,30:22.5,->,Flow rate:,50,L/m,00:00.9
16:30:22.597 -> Flow rate: 41.67 L/m,,,,30:22.6,->,Flow rate:,41.67,L/m,00:01.0
16:30:22.691 -> Flow rate: 50.00 L/m,,,,30:22.7,->,Flow rate:,50,L/m,00:01.1
16:30:22.831 -> Flow rate: 50.00 L/m,,,,30:22.8,->,Flow rate:,50,L/m,00:01.2
16:30:22.925 -> Flow rate: 41.67 L/m,,,,30:22.9,->,Flow rate:,41.67,L/m,00:01.3
16:30:23.019 -> Flow rate: 50.00 L/m,,,,30:23.0,->,Flow rate:,50,L/m,00:01.4
16:30:23.113 -> Flow rate: 50.00 L/m,,,,30:23.1,->,Flow rate:,50,L/m,00:01.5
16:30:23.207 -> Flow rate: 50.00 L/m,,,,30:23.2,->,Flow rate:,50,L/m,00:01.6
16:30:23.301 -> Flow rate: 50.00 L/m,,,,30:23.3,->,Flow rate:,50,L/m,00:01.7
16:30:23.394 -> Flow rate: 41.67 L/m,,,,30:23.4,->,Flow rate:,41.67,L/m,00:01.8
16:30:23.488 -> Flow rate: 50.00 L/m,,,,30:23.5,->,Flow rate:,50,L/m,00:01.9
16:30:23.629 -> Flow rate: 50.00 L/m,,,,30:23.6,->,Flow rate:,50,L/m,00:02.0
16:30:23.723 -> Flow rate: 50.00 L/m,,,,30:23.7,->,Flow rate:,50,L/m,00:02.1
16:30:23.816 -> Flow rate: 41.67 L/m,,,,30:23.8,->,Flow rate:,41.67,L/m,00:02.2
16:30:23.910 -> Flow rate: 50.00 L/m,,,,30:23.9,->,Flow rate:,50,L/m,00:02.3
16:30:24.004 -> Flow rate: 50.00 L/m,,,,30:24.0,->,Flow rate:,50,L/m,00:02.4
16:30:24.098 -> Flow rate: 50.00 L/m,,,,30:24.1,->,Flow rate:,50,L/m,00:02.5
16:30:24.191 -> Flow rate: 50.00 L/m,,,,30:24.2,->,Flow rate:,50,L/m,00:02.6
16:30:24.285 -> Flow rate: 50.00 L/m,,,,30:24.3,->,Flow rate:,50,L/m,00:02.7
16:30:24.426 -> Flow rate: 50.00 L/m,,,,30:24.4,->,Flow rate:,50,L/m,00:02.8
16:30:24.521 -> Flow rate: 41.67 L/m,,,,30:24.5,->,Flow rate:,41.67,L/m,00:02.9
16:30:24.614 -> Flow rate: 50.00 L/m,,,,30:24.6,->,Flow rate:,50,L/m,00:03.0
16:30:24.708 -> Flow rate: 50.00 L/m,,,,30:24.7,->,Flow rate:,50,L/m,00:03.1
16:30:24.802 -> Flow rate: 50.00 L/m,,,,30:24.8,->,Flow rate:,50,L/m,00:03.2
16:30:24.896 -> Flow rate: 50.00 L/m,,,,30:24.9,->,Flow rate:,50,L/m,00:03.3
16:30:24.989 -> Flow rate: 50.00 L/m,,,,30:25.0,->,Flow rate:,50,L/m,00:03.4
16:30:25.083 -> Flow rate: 41.67 L/m,,,,30:25.1,->,Flow rate:,41.67,L/m,00:03.5
16:30:25.224 -> Flow rate: 50.00 L/m,,,,30:25.2,->,Flow rate:,50,L/m,00:03.6
16:30:25.318 -> Flow rate: 50.00 L/m,,,,30:25.3,->,Flow rate:,50,L/m,00:03.7
16:30:25.411 -> Flow rate: 50.00 L/m,,,,30:25.4,->,Flow rate:,50,L/m,00:03.8
16:30:25.505 -> Flow rate: 50.00 L/m,,,,30:25.5,->,Flow rate:,50,L/m,00:03.9
16:30:25.599 -> Flow rate: 50.00 L/m,,,,30:25.6,->,Flow rate:,50,L/m,00:04.0
16:30:25.693 -> Flow rate: 50.00 L/m,,,,30:25.7,->,Flow rate:,50,L/m,00:04.1
16:30:25.786 -> Flow rate: 50.00 L/m,,,,30:25.8,->,Flow rate:,50,L/m,00:04.2
16:30:25.928 -> Flow rate: 50.00 L/m,,,,30:25.9,->,Flow rate:,50,L/m,00:04.3
16:30:26.021 -> Flow rate: 41.67 L/m,,,,30:26.0,->,Flow rate:,41.67,L/m,00:04.4
