TimeStamp_C,,,Values_N,Values_30,Values_60,Values_45
00:00.1,,,0,0,0,0.017
00:00.2,,,0,0,2,0.017
00:00.3,,,0,0,0,3.919
00:00.4,,,0,0,2,41.02
00:00.5,,,0,-1.9,0,64.52
00:00.6,,,-1.9,-1.9,0,76.22
00:00.7,,,-1.9,-1.9,0,78.22
00:00.8,,,-1.9,-1.9,25.4,78.22
00:00.9,,,0,21.5,39.1,78.22
00:01.0,,,0,66.4,50.8,78.22
00:01.1,,,0,97.7,50.8,78.22
00:01.2,,,0,97.7,52.8,80.12
00:01.3,,,0,97.7,52.8,78.22
00:01.4,,,0,95.7,54.7,78.22
00:01.5,,,-1.9,97.7,50.8,78.22
00:01.6,,,-1.9,97.7,52.8,76.22
00:01.7,,,0,97.7,54.7,76.22
00:01.8,,,-1.9,99.6,54.7,76.22
00:01.9,,,-1.9,97.7,54.7,78.22
00:02.0,,,0,97.7,54.7,78.22
00:02.1,,,0,97.7,52.8,80.12
00:02.2,,,0,97.7,52.8,80.12
00:02.3,,,-1.9,97.7,50.8,80.12
00:02.4,,,-1.9,95.7,50.8,76.22
00:02.5,,,0,95.7,52.8,76.22
00:02.6,,,-1.9,95.7,52.8,76.22
00:02.7,,,0,95.7,52.8,76.22
00:02.8,,,0,95.7,52.8,74.32
00:02.9,,,-1.9,95.7,50.8,72.32
00:03.0,,,0,95.7,52.8,66.42
00:03.1,,,-1.9,95.7,52.8,60.61
00:03.2,,,0,89.9,52.8,54.71
00:03.3,,,-1.9,86,50.8,48.91
00:03.4,,,-1.9,84,48.9,50.81
00:03.5,,,-1.9,82.1,46.9,50.81
00:03.6,,,0,80.1,48.9,50.81
00:03.7,,,-1.9,80.1,50.8,52.81
00:03.8,,,0,76.2,52.8,56.72
00:03.9,,,0,72.3,52.8,60.62
00:04.0,,,0,74.3,48.9,62.52
00:04.1,,,-1.9,74.3,48.9,66.42
00:04.2,,,0,74.3,48.9,68.42
00:04.3,,,-1.9,72.3,50.8,66.42
00:04.4,,,0,66.4,48.9,68.42
00:04.5,,,-1.9,58.6,48.9,68.42
00:04.6,,,-1.9,56.7,50.8,68.42
00:04.7,,,-1.9,60.6,52.8,68.42
00:04.8,,,0,70.3,52.8,68.42
00:04.9,,,0,76.2,50.8,72.32
00:05.0,,,0,80.1,50.8,74.32
00:05.1,,,-1.9,87.9,48.9,76.22
00:05.2,,,-1.9,91.8,50.8,76.22
00:05.3,,,0,93.8,52.8,76.22
00:05.4,,,-1.9,93.8,52.8,76.22
00:05.5,,,-1.9,95.7,52.8,76.22
00:05.6,,,0,97.7,50.8,78.22
00:05.7,,,-1.9,95.7,52.8,78.22
00:05.8,,,-1.9,95.7,52.8,78.22
00:05.9,,,0,95.7,52.8,76.22
00:06.0,,,-1.9,95.7,50.8,78.22
00:06.1,,,0,95.7,52.8,80.12
00:06.2,,,37.1,95.7,52.8,78.22
00:06.3,,,78.2,95.7,52.8,80.12
00:06.4,,,101.6,95.7,54.7,80.12
00:06.5,,,99.6,95.7,50.8,78.22
00:06.6,,,101.6,93.8,52.8,78.22
00:06.7,,,99.6,87.9,50.8,78.22
00:06.8,,,97.7,89.9,52.8,76.22
00:06.9,,,97.7,87.9,52.8,72.32
00:07.0,,,97.7,84,50.8,72.32
00:07.1,,,97.7,82.1,52.8,74.32
00:07.2,,,97.7,80.1,50.8,74.32
00:07.3,,,97.7,84,52.8,74.32
00:07.4,,,97.7,87.9,52.8,70.32
00:07.5,,,97.7,93.8,50.8,68.42
00:07.6,,,99.6,91.8,50.8,68.42
00:07.7,,,99.6,89.9,50.8,68.42
00:07.8,,,99.6,89.9,50.8,68.42
00:07.9,,,101.6,89.9,50.8,68.42
00:08.0,,,101.6,91.8,50.8,66.42
00:08.1,,,101.6,91.8,52.8,68.42
00:08.2,,,101.6,91.8,52.8,72.32
00:08.3,,,101.6,91.8,52.8,74.32
00:08.4,,,99.6,93.8,50.8,74.32
00:08.5,,,93.8,93.8,50.8,74.32
00:08.6,,,86,91.8,50.8,76.22
00:08.7,,,80.1,91.8,50.8,76.22
00:08.8,,,74.3,91.8,50.8,76.22
00:08.9,,,68.4,93.8,50.8,76.22
00:09.0,,,64.5,93.8,48.9,76.22
00:09.1,,,60.6,95.7,48.9,76.22
00:09.2,,,54.7,95.7,48.9,74.32
00:09.3,,,50.8,89.9,48.9,74.32
00:09.4,,,48.9,87.9,50.8,76.22
00:09.5,,,45,86,48.9,76.22
00:09.6,,,46.9,86,48.9,74.32
00:09.7,,,46.9,87.9,48.9,72.32
00:09.8,,,48.9,87.9,50.8,72.32
00:09.9,,,46.9,87.9,50.8,70.32
00:10.0,,,48.9,86,50.8,66.42
00:10.1,,,56.7,86,48.9,66.42
00:10.2,,,64.5,84,50.8,68.42
00:10.3,,,70.3,86,50.8,68.42
00:10.4,,,74.3,87.9,52.8,68.42
00:10.5,,,76.2,91.8,52.8,72.32
00:10.6,,,82.1,93.8,52.8,70.32
00:10.7,,,84,93.8,52.8,68.42
00:10.8,,,82.1,93.8,52.8,68.42
00:10.9,,,89.9,95.7,52.8,68.42
00:11.0,,,95.7,95.7,52.8,68.42
00:11.1,,,97.7,95.7,50.8,66.42
00:11.2,,,97.7,95.7,52.8,70.32
00:11.3,,,99.6,95.7,54.7,72.32
00:11.4,,,97.7,91.8,52.8,72.32
00:11.5,,,97.7,87.9,52.8,70.32
00:11.6,,,99.6,84,50.8,74.32
00:11.7,,,97.7,78.2,50.8,74.32
00:11.8,,,99.6,70.3,50.8,72.32
00:11.9,,,101.6,60.6,52.8,70.32
00:12.0,,,99.6,60.6,50.8,68.42
00:12.1,,,93.8,60.6,52.8,64.52
00:12.2,,,87.9,70.3,50.8,60.62
00:12.3,,,82.1,78.2,50.8,60.62
