TimeStamp,,,,TimeStamp,,,TimeStamp_45,Values_45
17:19:22.968 -> 0.0170.00,,,,19:23.0,->,,00:00.1,0.017
17:19:23.064 -> 0.0172.00,,,,19:23.1,->,,00:00.2,0.017
17:19:23.205 -> 3.9191.00,,,,19:23.2,->,,00:00.3,3.919
17:19:23.299 -> 41.0203.00,,,,19:23.3,->,,00:00.4,41.02
17:19:23.394 -> 64.5209.00,,,,19:23.4,->,,00:00.5,64.52
17:19:23.488 -> 76.2210.00,,,,19:23.5,->,,00:00.6,76.22
17:19:23.585 -> 78.2210.00,,,,19:23.6,->,,00:00.7,78.22
17:19:23.679 -> 78.2210.00,,,,19:23.7,->,,00:00.8,78.22
17:19:23.772 -> 78.2210.00,,,,19:23.8,->,,00:00.9,78.22
17:19:23.915 -> 78.2210.00,,,,19:23.9,->,,00:01.0,78.22
17:19:24.010 -> 78.2211.00,,,,19:24.0,->,,00:01.1,78.22
17:19:24.105 -> 80.1210.00,,,,19:24.1,->,,00:01.2,80.12
17:19:24.199 -> 78.2210.00,,,,19:24.2,->,,00:01.3,78.22
17:19:24.292 -> 78.2210.00,,,,19:24.3,->,,00:01.4,78.22
17:19:24.387 -> 78.2209.00,,,,19:24.4,->,,00:01.5,78.22
17:19:24.481 -> 76.2209.00,,,,19:24.5,->,,00:01.6,76.22
17:19:24.577 -> 76.2209.00,,,,19:24.6,->,,00:01.7,76.22
17:19:24.718 -> 76.2210.00,,,,19:24.7,->,,00:01.8,76.22
17:19:24.816 -> 78.2210.00,,,,19:24.8,->,,00:01.9,78.22
17:19:24.906 -> 78.2211.00,,,,19:24.9,->,,00:02.0,78.22
17:19:25.000 -> 80.1211.00,,,,19:25.0,->,,00:02.1,80.12
17:19:25.095 -> 80.1211.00,,,,19:25.1,->,,00:02.2,80.12
17:19:25.190 -> 80.1209.00,,,,19:25.2,->,,00:02.3,80.12
17:19:25.285 -> 76.2209.00,,,,19:25.3,->,,00:02.4,76.22
17:19:25.427 -> 76.2209.00,,,,19:25.4,->,,00:02.5,76.22
17:19:25.536 -> 76.2209.00,,,,19:25.5,->,,00:02.6,76.22
17:19:25.616 -> 76.2208.00,,,,19:25.6,->,,00:02.7,76.22
17:19:25.711 -> 74.3207.00,,,,19:25.7,->,,00:02.8,74.32
17:19:25.806 -> 72.3204.00,,,,19:25.8,->,,00:02.9,72.32
17:19:25.901 -> 66.4201.00,,,,19:25.9,->,,00:03.0,66.42
17:19:25.996 -> 60.6198.00,,,,19:26.0,->,,00:03.1,60.61
17:19:26.090 -> 54.7195.00,,,,19:26.1,->,,00:03.2,54.71
17:19:26.232 -> 48.9196.00,,,,19:26.2,->,,00:03.3,48.91
17:19:26.326 -> 50.8196.00,,,,19:26.3,->,,00:03.4,50.81
17:19:26.422 -> 50.8196.00,,,,19:26.4,->,,00:03.5,50.81
17:19:26.516 -> 50.8197.00,,,,19:26.5,->,,00:03.6,50.81
17:19:26.611 -> 52.8199.00,,,,19:26.6,->,,00:03.7,52.81
17:19:26.706 -> 56.7201.00,,,,19:26.7,->,,00:03.8,56.72
17:19:26.802 -> 60.6202.00,,,,19:26.8,->,,00:03.9,60.62
17:19:26.895 -> 62.5204.00,,,,19:26.9,->,,00:04.0,62.52
17:19:27.037 -> 66.4205.00,,,,19:27.0,->,,00:04.1,66.42
17:19:27.132 -> 68.4204.00,,,,19:27.1,->,,00:04.2,68.42
17:19:27.227 -> 66.4205.00,,,,19:27.2,->,,00:04.3,66.42
17:19:27.324 -> 68.4205.00,,,,19:27.3,->,,00:04.4,68.42
17:19:27.418 -> 68.4205.00,,,,19:27.4,->,,00:04.5,68.42
17:19:27.513 -> 68.4205.00,,,,19:27.5,->,,00:04.6,68.42
17:19:27.608 -> 68.4205.00,,,,19:27.6,->,,00:04.7,68.42
17:19:27.751 -> 68.4207.00,,,,19:27.8,->,,00:04.8,68.42
17:19:27.844 -> 72.3208.00,,,,19:27.8,->,,00:04.9,72.32
17:19:27.939 -> 74.3209.00,,,,19:27.9,->,,00:05.0,74.32
17:19:28.034 -> 76.2209.00,,,,19:28.0,->,,00:05.1,76.22
17:19:28.128 -> 76.2209.00,,,,19:28.1,->,,00:05.2,76.22
17:19:28.222 -> 76.2209.00,,,,19:28.2,->,,00:05.3,76.22
17:19:28.315 -> 76.2209.00,,,,19:28.3,->,,00:05.4,76.22
17:19:28.457 -> 76.2210.00,,,,19:28.5,->,,00:05.5,76.22
