TimeStamp,Unit,,,TimeStamp,,Values_N,,TimeStamp,TimeStamp_N
14:19:17.298 -> 0.0,kPa,,,19:17.3,->,0,,00:00.0,00:00.1
14:19:17.375 -> 0.0,kPa,,,19:17.4,->,0,,00:00.2,00:00.2
14:19:17.468 -> 0.0,kPa,,,19:17.5,->,0,,00:00.3,00:00.3
14:19:17.563 -> 0.0,kPa,,,19:17.6,->,0,,00:00.4,00:00.4
14:19:17.704 -> 0.0,kPa,,,19:17.7,->,0,,00:00.5,00:00.5
14:19:17.799 -> -1.9,kPa,,,19:17.8,->,-1.9,,00:00.6,00:00.6
14:19:17.893 -> -1.9,kPa,,,19:17.9,->,-1.9,,00:00.7,00:00.7
14:19:17.988 -> -1.9,kPa,,,19:18.0,->,-1.9,,00:00.8,00:00.8
14:19:18.082 -> 0.0,kPa,,,19:18.1,->,0,,00:00.9,00:00.9
14:19:19.689 -> 0.0,kPa,,,19:19.7,->,0,,00:01.0,00:01.0
14:19:19.776 -> 0.0,kPa,,,19:19.8,->,0,,00:01.1,00:01.1
14:19:19.871 -> 0.0,kPa,,,19:19.9,->,0,,00:01.2,00:01.2
14:19:20.012 -> 0.0,kPa,,,19:20.0,->,0,,00:01.3,00:01.3
14:19:20.106 -> 0.0,kPa,,,19:20.1,->,0,,00:01.4,00:01.4
14:19:20.181 -> -1.9,kPa,,,19:20.2,->,-1.9,,00:01.5,00:01.5
14:19:20.280 -> -1.9,kPa,,,19:20.3,->,-1.9,,00:01.6,00:01.6
14:19:20.375 -> 0.0,kPa,,,19:20.4,->,0,,00:01.7,00:01.7
14:19:20.516 -> -1.9,kPa,,,19:20.5,->,-1.9,,00:01.8,00:01.8
14:19:20.610 -> -1.9,kPa,,,19:20.6,->,-1.9,,00:01.9,00:01.9
14:19:20.704 -> 0.0,kPa,,,19:20.7,->,0,,00:02.0,00:02.0
14:19:20.782 -> 0.0,kPa,,,19:20.8,->,0,,00:02.1,00:02.1
14:19:20.916 -> 0.0,kPa,,,19:20.9,->,0,,00:02.2,00:02.2
14:19:21.005 -> -1.9,kPa,,,19:21.0,->,-1.9,,00:02.3,00:02.3
